chart,bucket_label,raw_level,num_events,chart_span_seconds,events_per_second,mean_density_500ms,p90_density_500ms,touch_ratio,compound_ratio,cross_zone_ratio,inner_add_ge2_ratio,inner_count_ge2_ratio,slide_active_ratio,hold_active_ratio,slide_conflict_ratio,mean_outer_move_dist,mean_slide_span,max_slide_span,outer_move_p90,outer_move_p95,outer_move_ge_0_25_ratio,outer_move_ge_0_375_ratio,outer_move_ge_0_5_ratio,busy_ratio,busy_outer_move_mean,busy_outer_move_p90,busy_compound_ratio,busy_cross_zone_ratio,busy_inner_add_ge2_ratio,busy_density_mean,busy_density_p90,dual_outer_ratio,dual_outer_span_mean,dual_outer_span_p90,dual_outer_wide_ratio,span_jump_mean,span_jump_p90,span_jump_ge_0_5_ratio,active_to_tap_ratio,active_to_compound_ratio,slide_conflict_when_busy_ratio,hold_only_ratio,slide_only_ratio,compound_with_slide_ratio,interval_cv,interval_entropy,rhythm_switch_ratio,short_long_alternation_ratio,low_density_rhythm_switch_ratio,nonburst_rhythm_switch_ratio,slide_density_mean,slide_density_p90,slide_outer_move_p90,slide_compound_ratio,slide_span_p90,long_slide_ratio,slide_span_jump_p90,slide_conflict_active_ratio,slide_tap_interrupt_ratio
10030_master,13+,13.7,374.0,87.719298,4.2636,3.018716,4.999997,0.013369,0.090909,0.013369,0.024064,0.024064,0.31016,0.026738,0.042781,0.170455,1.165775,6.0,0.375,0.5,0.315508,0.122995,0.064171,0.336898,0.188492,0.5,0.246032,0.015873,0.031746,2.531745,2.999999,0.278075,0.600962,1.0,0.769231,0.228155,0.5,0.262136,0.933333,0.05,0.126984,0.026738,0.31016,0.082888,0.933658,1.211121,0.344086,0.088949,0.370482,0.344086,2.525861,2.999999,0.5,0.267241,5.0,0.172414,2.0,0.137931,0.112069
10070_master,14+,14.6,578.0,91.0125,6.350776,5.153979,8.000004,0.16609,0.053633,0.00519,0.083045,0.086505,0.103806,0.297578,0.020761,0.141869,0.411765,6.0,0.375,0.375,0.314879,0.133218,0.015571,0.401384,0.190733,0.375,0.12069,0.0,0.025862,4.37931,7.000004,0.15917,0.774457,1.0,0.978261,0.082418,0.25,0.098901,1.0,0.0,0.051724,0.297578,0.103806,0.044983,1.198118,2.064206,0.442708,0.344348,0.575342,0.392097,2.766666,4.0,0.25,0.433333,6.0,0.2,1.2,0.2,0.066667
100_remaster,13,13.2,357.0,119.8,2.979967,2.20168,2.999999,0.0,0.028011,0.0,0.0,0.0,0.285714,0.170868,0.114846,0.170868,1.212885,7.0,0.375,0.5,0.35014,0.201681,0.098039,0.448179,0.148438,0.5,0.0625,0.0,0.0,2.031249,2.999999,0.131653,0.643617,1.0,0.787234,0.211957,0.5,0.304348,1.0,0.0,0.25625,0.162465,0.277311,0.028011,0.648706,1.069376,0.470423,0.29661,0.470423,0.470423,2.07843,2.999999,0.5,0.098039,6.0,0.441176,1.0,0.401961,0.382353
10117_master,13,13.2,359.0,120.0,2.991667,2.225626,4.0,0.038997,0.094708,0.022284,0.0,0.0,0.342618,0.167131,0.133705,0.155641,1.181058,7.0,0.375,0.5,0.261838,0.10585,0.05571,0.481894,0.145231,0.25,0.150289,0.0,0.0,2.242774,2.999999,0.21727,0.503205,1.0,0.653846,0.168831,0.5,0.233766,1.0,0.0,0.277457,0.139276,0.314763,0.064067,0.926443,1.220805,0.319328,0.117978,0.31831,0.322034,2.317072,2.999999,0.25,0.186992,5.0,0.186992,2.0,0.390244,0.317073
10122_master,13,13.0,308.0,101.833334,3.02455,2.308441,2.999999,0.038961,0.094156,0.061688,0.045455,0.045455,0.327922,0.188312,0.061688,0.145698,1.37013,7.0,0.375,0.5,0.301948,0.155844,0.074675,0.49026,0.154801,0.375,0.119205,0.05298,0.006623,2.337747,2.999999,0.230519,0.605634,1.0,0.676056,0.235714,0.75,0.328571,0.944444,0.027778,0.125828,0.162338,0.301948,0.019481,0.772525,1.348772,0.620915,0.416393,0.622951,0.627063,2.316831,2.999999,0.375,0.059406,6.0,0.287129,2.0,0.188119,0.118812
10145_master,13,13.4,279.0,75.46875,3.696894,2.806451,4.0,0.02509,0.107527,0.021505,0.003584,0.003584,0.25448,0.086022,0.02509,0.165323,0.831541,5.0,0.375,0.5,0.326165,0.197133,0.086022,0.333333,0.182796,0.475,0.311828,0.053763,0.0,2.698924,2.999999,0.265233,0.601351,1.0,0.72973,0.212329,0.5,0.232877,0.960784,0.0,0.075269,0.078853,0.247312,0.075269,0.579973,1.259465,0.396364,0.234432,0.399267,0.396364,2.760562,2.999999,0.5,0.295775,4.0,0.056338,2.0,0.098592,0.098592
10187_master,13,13.3,427.0,117.692308,3.628105,2.882903,4.0,0.032787,0.093677,0.0,0.028103,0.028103,0.266979,0.119438,0.032787,0.166862,1.063232,7.0,0.375,0.5,0.334895,0.166276,0.088993,0.370023,0.196994,0.5,0.253165,0.0,0.0,2.481012,2.999999,0.302108,0.585271,1.0,0.728682,0.203125,0.5,0.273438,0.928571,0.0,0.088608,0.103044,0.250585,0.093677,0.839524,1.313868,0.472941,0.275943,0.483791,0.496259,2.499999,2.999999,0.5,0.350877,6.0,0.27193,3.0,0.122807,0.087719
10190_master,13,13.1,496.0,135.517242,3.660051,2.893144,4.999997,0.022177,0.106855,0.0,0.0,0.0,0.227823,0.15121,0.046371,0.167843,0.758065,5.0,0.375,0.5,0.318548,0.153226,0.066532,0.370968,0.16712,0.375,0.288043,0.0,0.0,2.418477,2.999999,0.262097,0.590385,1.0,0.807692,0.199612,0.5,0.217054,1.0,0.0,0.125,0.143145,0.219758,0.080645,0.883663,1.349459,0.206478,0.06288,0.235023,0.206478,2.663716,2.999999,0.5,0.353982,4.0,0.088496,2.0,0.20354,0.168142
10193_master,13,13.4,567.0,109.706896,5.168317,3.477953,4.999997,0.031746,0.024691,0.0,0.0194,0.0194,0.104056,0.056437,0.026455,0.197972,0.363316,6.0,0.375,0.5,0.409171,0.202822,0.084656,0.156966,0.245787,0.5,0.157303,0.0,0.0,3.07865,4.999997,0.246914,0.5,0.75,0.55,0.215827,0.5,0.323741,0.829787,0.0,0.168539,0.05291,0.100529,0.010582,0.693103,1.322278,0.345133,0.134752,0.397917,0.363128,3.101694,4.999997,0.5,0.101695,4.2,0.101695,2.0,0.254237,0.220339
10199_master,13,13.0,484.0,120.342857,4.021842,2.787189,4.0,0.10124,0.008264,0.0,0.0,0.0,0.204545,0.080579,0.014463,0.13688,0.747934,6.0,0.375,0.5,0.272727,0.136364,0.092975,0.280992,0.214154,0.5,0.029412,0.0,0.0,2.257352,2.999999,0.206612,0.4875,0.75,0.54,0.143939,0.5,0.191919,0.946667,0.0,0.051471,0.076446,0.200413,0.008264,0.793363,1.22939,0.288382,0.110187,0.303097,0.288382,2.31313,2.999999,0.5,0.040404,5.0,0.181818,2.0,0.070707,0.060606
