chart,raw_level,bucket_label,cluster_id,distance_to_centroid,pca_x,pca_y
10030_master,13.7,13+,0,14.560886,7.243484,6.239964
10070_master,14.6,14+,3,22.262739,32.467781,9.031801
100_remaster,13.2,13,1,12.989159,-7.694407,0.996782
10117_master,13.2,13,4,11.893668,2.340155,1.074291
10122_master,13.0,13,0,18.649496,13.139454,0.593239
10145_master,13.4,13,4,12.011951,-0.256704,-2.395878
10187_master,13.3,13,0,13.31734,4.281346,7.18984
10190_master,13.1,13,4,10.372035,-1.323184,1.288645
10193_master,13.4,13,2,11.058939,-0.294468,-4.273607
10199_master,13.0,13,2,12.974628,3.457795,-2.696213
101_master,13.6,13+,1,9.025552,-8.572461,-2.173417
10202_master,13.4,13,5,15.617152,5.890471,-6.610122
10204_master,13.5,13,4,12.239394,-1.127034,-2.047665
1020_master,13.8,13+,6,9.301631,-7.887472,1.665015
10225_master,13.4,13,4,9.430769,-1.194963,-1.132669
10235_master,14.1,14,3,30.823727,35.004829,14.24943
10242_master,13.3,13,4,11.296085,0.38715,1.887076
10251_master,13.3,13,3,14.668067,11.744988,15.960291
10288_master,13.8,13+,2,8.463823,4.932295,-6.969114
10301_master,13.5,13,5,9.930346,10.272611,-10.555065
10302_master,13.4,13,0,15.559958,9.807019,3.943228
10303_master,13.3,13,4,8.504464,-1.41703,0.676242
10315_master,13.0,13,4,12.517777,4.142814,3.173983
10319_master,13.5,13,5,16.021435,14.845365,-14.519401
10363_master,13.6,13+,2,9.818128,5.582873,-7.55403
10366_master,13.7,13+,0,10.956384,13.808036,5.616469
10367_master,13.7,13+,4,11.625113,6.387256,0.118559
10375_master,13.2,13,4,12.785724,2.258837,7.905643
10404_master,13.4,13,4,8.570372,-2.34575,1.052055
10411_master,14.5,14,4,14.225343,0.826844,1.810308
10422_master,13.9,13+,0,10.210138,5.160423,2.250158
10493_master,13.9,13+,2,10.842068,4.845103,-2.896658
1051_master,14.2,14,6,6.934015,-7.48555,0.940125
10552_master,13.2,13,4,11.832962,-0.60341,-2.762892
10572_master,13.5,13,5,8.348386,7.214551,-8.002608
10574_master,13.9,13+,2,9.367939,2.364333,-6.638941
10593_master,13.5,13,5,8.926264,11.405467,-11.664315
10602_master,14.0,14,2,6.928679,3.149621,-5.74109
10625_master,13.8,13+,3,12.06286,18.732605,6.486531
10641_master,13.6,13+,5,6.531571,8.184095,-8.926653
10699_master,13.7,13+,4,8.493488,1.293277,-0.885597
106_master,13.5,13,1,7.394925,-8.556491,0.507681
10734_master,13.5,13,5,14.216976,15.224135,-14.298857
