chart,raw_level,bucket_label,distance_to_centroid,pca_x,pca_y
231_master,13.2,13,4.756753,-8.168633,0.350873
264_master,13.7,13+,5.032147,-8.607285,-0.339612
232_master,13.7,13+,5.147991,-8.232215,0.265863
328_master,13.4,13,5.679664,-8.259942,0.02306
295_master,13.3,13,5.771814,-8.666478,-0.158842
313_master,13.2,13,5.851454,-8.123086,0.633246
613_master,13.3,13,5.935321,-8.177414,0.507076
144_remaster,13.7,13+,5.997508,-8.174266,-0.36669
107_remaster,13.3,13,6.113599,-8.322537,0.403188
700_master,13.7,13+,6.171196,-8.121203,-0.114675
389_master,13.9,13+,6.236464,-7.851369,0.082258
324_master,14.1,14,6.271048,-7.927057,-0.764219
366_master,13.7,13+,6.352221,-7.894457,0.206367
840_master,13.8,13+,6.39187,-8.208092,-0.299832
779_expert,13.3,13,6.416486,-7.700838,-0.09606
202_master,13.4,13,6.459172,-8.763453,-0.146996
259_master,13.3,13,6.473592,-8.641696,-0.542709
446_master,13.9,13+,6.480123,-8.045532,-0.064752
507_master,13.0,13,6.586767,-8.183352,0.64704
581_master,14.5,14,6.602665,-7.640205,-0.656497
719_master,14.3,14,6.641665,-7.869057,0.168034
756_remaster,13.8,13+,6.681768,-7.933298,-0.339523
812_remaster,14.8,14+,6.735243,-7.624115,0.173953
380_master,13.7,13+,6.736917,-7.847476,-0.121782
389_remaster,14.2,14,6.74213,-7.558648,-0.685218
251_master,13.0,13,6.757944,-8.457309,0.971722
834_expert,13.9,13+,6.78162,-7.741,0.214727
70_master,14.4,14,6.802398,-8.653511,-1.380744
736_master,14.3,14,6.805996,-7.708467,0.323795
261_master,13.8,13+,6.823305,-8.532642,-0.869051
225_master,13.4,13,6.842162,-8.312825,1.08071
348_master,14.5,14,6.854354,-8.449284,0.096758
757_master,14.3,14,6.883828,-7.791348,-0.213011
420_master,13.4,13,6.951972,-8.422602,0.159277
262_master,13.7,13+,6.974272,-8.48699,-0.071498
85_remaster,14.0,14,6.978081,-8.491922,-0.109714
539_master,13.7,13+,6.999056,-8.072014,0.452194
