chart,raw_level,bucket_label,cluster_id,distance_to_centroid,pca_x,pca_y,density_load,rhythm_complexity,movement_stretch,occupancy_pressure,slide_complexity,touch_cross_mix
10030_master,13.7,13+,3,0.813802,-0.623643,-0.050427,-0.510473,-0.480266,0.11129,0.250557,0.279333,0.732239
10070_master,14.6,14+,3,2.273496,1.035148,2.053982,1.440685,1.354719,-0.64351,0.61762,0.025859,1.509514
100_remaster,13.2,13,4,1.328018,-1.400087,0.362935,-1.234444,0.393274,0.283162,0.610706,1.018894,-0.611799
10117_master,13.2,13,0,0.987404,-1.258517,0.041377,-1.036114,-0.609602,-0.583605,0.71946,1.009724,0.074531
10122_master,13.0,13,3,2.223682,-1.499054,2.249672,-1.084119,1.744336,0.11766,0.898869,0.42345,1.908185
10145_master,13.4,13,3,0.788119,-0.616052,0.022567,-0.626373,-0.071165,0.139782,-0.016501,-0.23364,0.735611
10187_master,13.3,13,4,0.906277,-0.800778,0.808656,-0.731061,0.6698,0.182605,0.109642,0.700753,0.318811
10190_master,13.1,13,0,0.861232,-0.643122,-1.0503,-0.612763,-1.260823,-0.085424,0.286638,0.060376,-0.16328
10193_master,13.4,13,7,0.991431,0.689611,-0.533369,0.372995,-0.344661,0.231993,-0.95586,-0.170825,-0.093168
10199_master,13.0,13,7,0.991658,-0.585645,-0.969211,-0.787515,-0.836516,-0.411254,-0.246821,-0.373625,-0.324579
101_master,13.6,13+,7,1.018732,0.031187,-1.620862,-0.284074,-1.17641,-0.174835,-0.504313,-0.913781,-0.713035
10202_master,13.4,13,3,1.003866,-0.024448,-0.13845,-0.082338,-0.566373,-0.122376,-0.3028,-0.45808,1.395624
10204_master,13.5,13,7,0.549662,-0.076577,-0.94589,-0.072745,-0.869873,0.376098,0.128379,-0.082119,-0.410015
1020_master,13.8,13+,5,0.788775,0.074633,-0.057824,-0.012659,0.242504,0.453841,-0.239257,0.18364,-0.492289
10225_master,13.4,13,0,0.770325,-0.409224,-0.595483,-0.379323,-0.689397,0.314926,0.147477,0.436005,-0.32555
10235_master,14.1,14,3,1.691129,0.148421,1.955467,0.144693,1.194002,-0.731344,-0.499991,0.549087,1.895788
10242_master,13.3,13,5,0.904989,-0.577627,0.590683,-0.494315,0.633738,0.410656,0.181038,0.62607,-0.088081
10251_master,13.3,13,6,0.513345,-0.075996,-0.018774,-0.066946,-0.18707,0.107986,-0.044553,0.405567,0.044853
10288_master,13.8,13+,6,1.13569,0.470265,-0.024333,0.213868,-0.184863,-0.637043,-0.78573,-0.187005,0.422069
10301_master,13.5,13,7,0.922511,0.170753,-0.286038,0.096738,-0.426911,0.089708,-0.282499,-0.295118,0.590562
10302_master,13.4,13,0,1.064197,-0.686788,0.066502,-0.580227,-0.561996,-0.334929,0.23954,1.229906,0.026865
10303_master,13.3,13,5,0.720132,-0.574656,0.171675,-0.588626,0.211585,0.079274,0.013911,0.40497,-0.178262
10315_master,13.0,13,3,1.118879,-0.601767,0.282297,-0.691991,0.156711,-0.544082,-0.175816,0.162582,0.234143
10319_master,13.5,13,3,0.853647,-0.387572,-0.190043,-0.429521,-0.382078,0.198722,-0.163798,-0.326754,0.962235
10363_master,13.6,13+,1,1.31909,1.577234,0.238135,1.201484,0.355633,-0.340143,-1.301991,-0.50013,0.371311
10366_master,13.7,13+,6,0.893512,-0.063606,0.688165,0.162291,0.143756,-0.159048,0.412582,0.883115,0.332598
10367_master,13.7,13+,3,0.897366,-0.684495,0.741463,-0.667203,0.626486,0.057332,-0.026247,0.176636,0.727113
10375_master,13.2,13,5,0.948164,-0.655508,0.767122,-0.425603,0.923921,0.383614,0.659138,-0.012889,0.166794
10404_master,13.4,13,5,0.732903,-0.252949,-0.238365,-0.21987,-0.169973,0.463108,0.110665,0.20905,-0.197677
10411_master,14.5,14,1,0.992464,2.02976,-0.538605,1.97056,-0.509077,0.462178,-0.462873,0.063661,-0.567982
10422_master,13.9,13+,6,0.341146,0.442527,0.078881,0.468215,-0.108288,-0.030722,-0.064387,0.099819,0.208859
