chart,raw_level,bucket_label,distance_to_centroid,pca_x,pca_y,density_load,rhythm_complexity,movement_stretch,occupancy_pressure,slide_complexity,touch_cross_mix
11468_master,13.8,13+,0.365081,-0.461653,0.944448,-0.369245,0.998367,-0.410668,0.305307,0.422589,-0.285074
763_remaster,13.2,13,0.473891,-0.817915,0.59493,-0.725977,0.604946,-0.174527,0.34459,0.397991,-0.123842
11589_master,13.2,13,0.48742,-0.861992,0.71487,-0.827482,0.77327,-0.070697,0.153482,0.392715,0.017659
11560_master,13.2,13,0.489642,-0.695009,0.655516,-0.659774,0.621215,-0.426461,0.177519,0.465825,-0.159824
11873_master,13.0,13,0.523223,-0.697278,1.301848,-0.594998,1.540409,-0.169477,0.335587,0.341181,-0.206858
805_master,13.2,13,0.52556,-0.5368,0.84904,-0.493092,0.835247,-0.682403,0.208194,0.219139,-0.063378
801_master,13.4,13,0.554124,-0.453051,1.267397,-0.307634,1.303549,-0.10471,0.346186,0.526692,-0.033894
11863_master,13.0,13,0.55975,-1.288893,0.84548,-1.127311,0.858108,-0.263086,0.603424,0.395448,-0.028179
11841_master,13.3,13,0.585097,-0.396917,0.711322,-0.337319,0.718545,-0.180918,0.168827,0.569391,-0.277211
11913_remaster,13.4,13,0.591329,-0.710072,0.570655,-0.626108,0.523303,-0.160917,0.282828,0.377161,0.011053
587_master,13.4,13,0.600469,-0.991535,1.277443,-0.807155,1.266984,-0.665166,0.636452,0.64126,-0.34093
11663_expert,13.8,13+,0.60484,-0.406192,0.972403,-0.403488,0.915237,-0.479189,-0.010736,0.684555,-0.188722
11467_master,14.0,14,0.628761,-0.591205,0.787641,-0.535719,0.608211,-0.510277,0.164084,0.651486,-0.044954
11557_master,13.0,13,0.632533,-0.53554,0.618972,-0.612036,0.955567,-0.015697,-0.119524,0.128161,-0.283547
696_master,13.4,13,0.64953,-0.971746,0.422614,-0.942047,0.757992,0.077613,0.279642,0.073385,-0.347319
11402_master,13.4,13,0.668241,-0.478239,0.88358,-0.467894,0.737512,-0.651787,0.034584,0.447798,0.093878
704_remaster,13.4,13,0.67108,-0.575,0.339784,-0.577528,0.494329,-0.206642,0.123898,0.138072,-0.281226
11698_remaster,13.2,13,0.693712,-1.15573,0.802421,-1.00726,0.628733,-0.638957,0.553515,0.454763,0.054029
328_remaster,13.3,13,0.698846,-0.314297,0.541334,-0.362683,0.647885,-0.449339,-0.055113,0.242005,-0.304762
11802_master,13.0,13,0.717974,-0.891731,0.497796,-0.836495,0.627242,-0.087076,0.284414,-0.041676,0.122793
