chart,raw_level,true_label,pred_label,priority_group,source_method,human_bucket,human_level_view,accept_model_push,notes
11208_master,13.8,13+,14,13plus_border_push_up,late_fusion_v1_ce,,,,
11413_master,13.9,13+,14,13plus_border_push_up,late_fusion_v1_ce,,,,
11637_remaster,13.8,13+,14,13plus_border_push_up,late_fusion_v1_ce,,,,
11881_master,13.8,13+,14,13plus_border_push_up,late_fusion_v1_ce,,,,
288_master,13.8,13+,14,13plus_border_push_up,late_fusion_v1_ce,,,,
411_master,13.9,13+,14,13plus_border_push_up,late_fusion_v1_ce,,,,
427_master,13.9,13+,14,13plus_border_push_up,late_fusion_v1_ce,,,,
592_master,13.9,13+,14,13plus_border_push_up,late_fusion_v1_ce,,,,
11174_master,14.2,14,14+,14_push_up,late_fusion_v1_ce,,,,
11378_master,14.5,14,14+,14_push_up,late_fusion_v1_ce,,,,
11596_master,14.0,14,14+,14_push_up,late_fusion_v1_ce,,,,
11391_master,14.8,14+,14,14plus_drop_down,late_fusion_v1_ce,,,,
779_master,14.8,14+,14,14plus_drop_down,late_fusion_v1_ce,,,,
11491_master,14.0,14,13+,low_density_14_drop_down,late_fusion_v1_ce,,,,
11140_master,13.8,13+,13,technical_13plus_drop_down,late_fusion_v1_ce,,,,
11232_remaster,13.7,13+,13,technical_13plus_drop_down,late_fusion_v1_ce,,,,
11543_master,13.7,13+,13,technical_13plus_drop_down,late_fusion_v1_ce,,,,
11584_master,13.6,13+,13,technical_13plus_drop_down,late_fusion_v1_ce,,,,
11779_remaster,13.7,13+,13,technical_13plus_drop_down,late_fusion_v1_ce,,,,
117_master,13.7,13+,13,technical_13plus_drop_down,late_fusion_v1_ce,,,,
11834_master,13.7,13+,13,technical_13plus_drop_down,late_fusion_v1_ce,,,,
238_master,13.8,13+,13,technical_13plus_drop_down,late_fusion_v1_ce,,,,
326_master,13.7,13+,13,technical_13plus_drop_down,late_fusion_v1_ce,,,,
345_master,13.6,13+,13,technical_13plus_drop_down,late_fusion_v1_ce,,,,
548_master,13.8,13+,13,technical_13plus_drop_down,late_fusion_v1_ce,,,,
786_master,13.8,13+,13,technical_13plus_drop_down,late_fusion_v1_ce,,,,
