metric,effect_size,fixed_mean,broken_mean,stable_13plus_mean,stable_14_mean
busy_density_mean,-1.8828072237448252,2.9663552991392024,3.5162271665399736,2.7826586151420902,3.657318017149312
busy_density_p90,-1.6382945048556992,4.399999125517816,5.666665522280819,4.263157206172046,6.3374980322916645
outer_move_ge_0_25_ratio,-1.3908123820562628,0.3739670096079742,0.4281567716968271,0.37901549888199704,0.3461642348184901
span_jump_p90,-1.0820035616009183,0.475,0.5749999999999998,0.5,0.5
busy_cross_zone_ratio,0.8773644570016819,0.002442250548868196,0.0,0.0033539517958370833,0.006086925778395832
outer_move_ge_0_375_ratio,-0.8499813462851705,0.16871340799204324,0.20391990488273418,0.17309557720956423,0.17119901213261043
outer_move_p90,-0.725476250110012,0.375,0.4166666666666667,0.3881578947368421,0.390625
outer_move_ge_0_5_ratio,-0.6622456722479446,0.06813590816189433,0.0886121233075725,0.07669476249571375,0.06985620679257482
busy_outer_move_p90,-0.6334548228662197,0.3862500000000001,0.4166666666666667,0.4342105263157895,0.390625
active_to_compound_ratio,-0.6324555320336759,0.0,0.0021929824561403508,0.0,0.001644736842105263
span_jump_ge_0_5_ratio,-0.5730369738503703,0.2452440706907854,0.278697004457295,0.26465576638509014,0.2145126158300296
slide_conflict_when_busy_ratio,-0.5291312675274608,0.08476837273535656,0.11313294960610472,0.11722183425093773,0.1244012391461012
busy_outer_move_mean,-0.444657325058363,0.18838191582666652,0.20028142227032306,0.18927873344803603,0.1688733263913762
active_to_tap_ratio,-0.41382198890544547,0.9719514143470839,0.9843545430741032,0.9618769432377506,0.9530429838686895
dual_outer_wide_ratio,0.38625165285712576,0.7150192926637663,0.6776453584943729,0.6746475186426145,0.7051215875794714
dual_outer_ratio,0.268809906803952,0.2616704834424367,0.24985791823491155,0.25678526465779966,0.18911811324419775
busy_compound_ratio,0.21116562049995072,0.18048383581752322,0.16131862372208391,0.17893818341555726,0.16059085842064413
dual_outer_span_p90,0.19706585563285792,0.975,0.9583333333333334,0.9473684210526315,0.96875
busy_ratio,-0.1865583948498602,0.2645568225586006,0.27484367140516647,0.3002286369507914,0.3367616065558592
compound_with_slide_ratio,0.16091888710741314,0.04033397118919323,0.03616993573300955,0.04329120364421697,0.026090120794809678
span_jump_mean,-0.13742751559057176,0.19402051801344106,0.19899659527988825,0.20016058510782428,0.1768464510261412
slide_only_ratio,-0.1082143322720075,0.15513358114193257,0.16068415391003157,0.18863877957267602,0.17807188253071615
outer_move_p95,-0.08622612271184621,0.475,0.4791666666666667,0.4934210526315789,0.46875
hold_only_ratio,-0.0746007819469839,0.1023752448123129,0.10722681223116877,0.1042395738335312,0.15375082201224094
busy_inner_add_ge2_ratio,-0.05364263870433966,0.00458862988274753,0.0050268642319241195,0.008578044193720005,0.005321038616781551
dual_outer_span_mean,-0.03242347068282551,0.5999486132400861,0.6029834719724797,0.5782991558509929,0.609899337044376
