chart,true_label,raw_level,baseline_pred_label,regression_pred_label,regression_pred_level,num_events,chart_span_seconds,events_per_second,mean_density_500ms,p90_density_500ms,touch_ratio,compound_ratio,cross_zone_ratio,inner_add_ge2_ratio,inner_count_ge2_ratio,slide_active_ratio,hold_active_ratio,slide_conflict_ratio,mean_outer_move_dist,mean_slide_span,max_slide_span
11028_expert,13,13.3,13,13+,13.5656,469.0,148.15384600000002,3.165628248354754,2.6844339841229763,4.000000437829517,0.10021321961620469,0.04904051172707889,0.0,0.0,0.0,0.34541577825159914,0.39232409381663114,0.21108742004264391,0.15405117270788912,1.4285714285714286,6.0
11106_master,14+,14.7,14+,14,14.3322,864.0,149.24,5.789332618600911,4.313656504774162,7.000003666562151,0.08101851851851852,0.08333333333333333,0.018518518518518517,0.041666666666666664,0.041666666666666664,0.16319444444444445,0.06481481481481481,0.06712962962962964,0.16652199074074073,0.6423611111111112,6.0
11275_master,13,13.4,13,13+,13.5799,584.0,140.706522,4.150482804201499,3.1472592040142566,4.999997184632331,0.05821917808219178,0.0958904109589041,0.0,0.003424657534246575,0.003424657534246575,0.2208904109589041,0.0976027397260274,0.03767123287671233,0.1815068493150685,0.8715753424657534,6.0
11306_master,14,14.5,14,13+,13.9032,584.0,128.63414600000002,4.540007596427778,3.8304788327506905,5.999998956612885,0.0273972602739726,0.0839041095890411,0.003424657534246575,0.005136986301369863,0.005136986301369863,0.20205479452054795,0.1541095890410959,0.0273972602739726,0.1716609589041096,0.7328767123287672,6.0
11330_master,14,14.2,14,13+,13.893,750.0,136.410228,5.498121445849354,4.1986661659785325,7.000003666562151,0.08133333333333333,0.02266666666666667,0.0,0.02,0.02,0.084,0.22933333333333333,0.008,0.17266666666666666,0.328,6.0
11721_master,14,14.0,14,13+,13.9041,648.0,112.0,5.785714285714286,4.02469060379336,5.999998956612885,0.004629629629629629,0.023148148148148147,0.0,0.0015432098765432098,0.0015432098765432098,0.12808641975308643,0.09259259259259259,0.04938271604938271,0.19598765432098766,0.4089506172839506,4.0
11778_remaster,14,14.0,14,13+,13.9567,554.0,108.956962,5.084576422018815,4.095667765757638,7.000003666562151,0.0018050541516245488,0.052346570397111915,0.0018050541516245488,0.0018050541516245488,0.0018050541516245488,0.20577617328519857,0.039711191335740074,0.039711191335740074,0.20803249097472923,0.7310469314079422,6.0
227_master,14,14.2,14,13+,13.8884,595.0,120.0,4.958333333333333,3.61680549658808,4.999997184632331,0.0,0.06722689075630252,0.0,0.0,0.0,0.2453781512605042,0.010084033613445379,0.023529411764705882,0.20840336134453782,0.9092436974789916,4.0
658_master,14,14.0,14,13+,13.9308,641.0,127.666667,5.020887715350162,4.095163385709495,7.000003666562151,0.0,0.0218408736349454,0.0,0.0,0.0,0.14040561622464898,0.15912636505460218,0.0265210608424337,0.1889625585023401,0.6318252730109204,7.0
779_master,14+,14.8,14+,14,14.3197,862.0,145.25625000000002,5.934340174691277,4.763341086769199,7.000003666562151,0.0,0.05916473317865429,0.0,0.0,0.0,0.1740139211136891,0.07308584686774942,0.025522041763341066,0.19402552204176335,0.6635730858468677,6.0
