chart,true_label,raw_level,baseline_pred_label,regression_pred_label,regression_pred_level,num_events,chart_span_seconds,events_per_second,mean_density_500ms,p90_density_500ms,touch_ratio,compound_ratio,cross_zone_ratio,inner_add_ge2_ratio,inner_count_ge2_ratio,slide_active_ratio,hold_active_ratio,slide_conflict_ratio,mean_outer_move_dist,mean_slide_span,max_slide_span
10199_master,13,13.0,13,13,13.3423,484.0,120.342857,4.0218423599499555,2.7871891692984825,4.000000437829517,0.1012396694214876,0.008264462809917356,0.0,0.0,0.0,0.20454545454545456,0.08057851239669421,0.014462809917355372,0.1368801652892562,0.7479338842975206,6.0
1020_master,13+,13.8,13+,13+,13.691,557.0,116.363636,4.786718764958496,3.416516214962326,4.999997184632331,0.0,0.017953321364452424,0.0,0.0,0.0,0.21005385996409337,0.0807899461400359,0.06822262118491922,0.2048922800718133,0.6732495511669659,5.0
10302_master,13,13.4,13,13,13.3999,489.0,119.825581,4.080931600072943,2.862984484511207,4.999997184632331,0.06748466257668712,0.05112474437627812,0.0,0.014314928425357873,0.024539877300613498,0.22085889570552147,0.17586912065439672,0.08588957055214724,0.14775051124744376,0.9856850715746421,7.0
10699_master,13+,13.7,13+,13+,13.636,528.0,132.0,4.0,3.348483905992271,5.999998956612885,0.01893939393939394,0.041666666666666664,0.003787878787878788,0.005681818181818182,0.005681818181818182,0.2537878787878788,0.0946969696969697,0.06818181818181818,0.18371212121212122,0.9734848484848485,6.0
10835_master,13,13.0,13,13,13.4642,297.0,138.496241,2.1444625345463346,3.074073372042438,7.000003666562151,0.19528619528619529,0.08417508417508418,0.026936026936026935,0.05387205387205387,0.05387205387205387,0.367003367003367,0.08080808080808081,0.05723905723905724,0.12794612794612795,1.4511784511784511,14.0
11009_remaster,13,13.3,13,13,13.4554,464.0,141.550706,3.2779772924622503,2.743533565645721,4.000000437829517,0.06896551724137931,0.07758620689655173,0.0021551724137931034,0.015086206896551725,0.015086206896551725,0.27586206896551724,0.06896551724137931,0.07112068965517242,0.18453663793103448,0.9310344827586207,6.0
11094_master,13,13.4,13,13,13.2826,459.0,125.934066,3.6447643959975053,2.941175613486298,4.999997184632331,0.08496732026143791,0.032679738562091505,0.0,0.04139433551198257,0.04139433551198257,0.12418300653594772,0.16339869281045752,0.037037037037037035,0.1576797385620915,0.49455337690631807,7.0
110_master,13,13.0,13,13,13.0977,431.0,122.080292,3.5304633773320266,2.7540592008906257,4.999997184632331,0.0,0.0,0.0,0.0,0.0,0.08584686774941995,0.27842227378190254,0.0069605568445475635,0.1537122969837587,0.3109048723897912,4.0
11140_master,13+,13.8,13+,13+,13.569,584.0,141.0,4.141843971631205,3.270547109157712,5.999998956612885,0.06335616438356165,0.0702054794520548,0.003424657534246575,0.02910958904109589,0.02910958904109589,0.14726027397260275,0.2191780821917808,0.0410958904109589,0.16887842465753425,0.5308219178082192,7.0
11155_master,14,14.4,14,14,14.0973,800.0,130.166667,6.145966693608281,4.6612499039396615,7.000003666562151,0.03625,0.03375,0.00625,0.02125,0.02125,0.1,0.04375,0.0375,0.17671875,0.36125,6.0
11158_master,13+,13.7,13+,13+,13.8408,573.0,130.772727,4.381647558668712,3.804536611623576,5.999998956612885,0.05235602094240838,0.07155322862129145,0.0,0.008726003490401396,0.008726003490401396,0.10296684118673648,0.1762652705061082,0.020942408376963352,0.19764397905759162,0.38394415357766143,6.0
11173_master,13,13.2,13,13,13.3751,569.0,139.783783,4.070572335275831,3.054480802570817,4.000000437829517,0.03163444639718805,0.09314586994727592,0.0017574692442882249,0.0210896309314587,0.0210896309314587,0.1827768014059754,0.2618629173989455,0.0210896309314587,0.16673989455184535,0.7223198594024605,7.0
11195_master,13+,13.7,13+,13+,13.7087,559.0,117.336134,4.7640908298546805,3.2880136732685035,4.999997184632331,0.03398926654740608,0.07334525939177101,0.012522361359570662,0.01073345259391771,0.01073345259391771,0.22540250447227192,0.05366726296958855,0.0035778175313059034,0.1815742397137746,0.8282647584973166,5.0
11226_master,13,13.0,13,13,13.2363,510.0,140.375,3.633125556544969,2.8843127633479937,4.000000437829517,0.18235294117647058,0.027450980392156862,0.0,0.021568627450980392,0.021568627450980392,0.1568627450980392,0.06274509803921569,0.06470588235294118,0.1284313725490196,0.5294117647058824,5.0
11280_master,13,13.5,13,13,13.5247,544.0,144.92307699999998,3.7537154969460116,2.764705347292701,4.000000437829517,0.04411764705882353,0.09375,0.0,0.007352941176470588,0.007352941176470588,0.32169117647058826,0.04963235294117647,0.03308823529411765,0.18083639705882354,1.1286764705882353,6.0
11289_master,13,13.4,13,13,13.0783,425.0,143.320313,2.965385653323266,2.6094106414251184,2.999998555520698,0.07764705882352942,0.10588235294117647,0.011764705882352941,0.02823529411764706,0.02823529411764706,0.18823529411764706,0.20705882352941177,0.023529411764705882,0.1535294117647059,0.7294117647058823,6.0
11292_master,13+,13.9,13+,13+,13.6869,592.0,140.15625,4.223857302118172,3.4493237010629194,5.999998956612885,0.07432432432432433,0.09628378378378379,0.016891891891891893,0.05067567567567568,0.05067567567567568,0.20101351351351351,0.0777027027027027,0.037162162162162164,0.16258445945945946,0.6672297297297297,6.0
