,chart,level
0,10030_expert,9.5
1,10030_master,13.7
2,10070_expert,10.8
3,10070_master,14.6
4,10117_expert,9.8
5,10117_master,13.2
6,10145_expert,11.9
7,10145_master,13.4
8,1020_expert,11.0
9,1020_master,13.8
10,10235_expert,12.5
11,10235_master,14.1
12,10242_expert,11.0
13,10242_master,13.3
14,10251_expert,11.2
15,10251_master,13.3
16,10363_expert,11.4
17,10363_master,13.6
18,10366_expert,11.0
19,10366_master,13.7
20,10367_expert,11.0
21,10367_master,13.7
22,10422_expert,11.0
23,10422_master,13.9
24,10493_expert,11.8
25,10493_master,13.9
26,10574_expert,11.0
27,10574_master,13.9
28,10835_expert,9.9
29,10835_master,13.0
30,11001_expert,9.7
31,11001_master,12.2
32,11002_expert,10.8
33,11002_master,13.3
34,11002_remaster,13.8
35,11003_expert,10.3
36,11003_master,12.7
37,11004_expert,11.4
38,11004_master,13.8
39,11004_remaster,14.2
40,11005_expert,10.8
41,11005_master,13.6
42,11005_remaster,14.4
43,11006_expert,10.5
44,11006_master,13.2
45,11007_expert,10.3
46,11007_master,12.7
47,11007_remaster,13.8
48,11008_expert,9.3
49,11008_master,12.6
50,11009_expert,9.5
51,11009_master,12.4
52,11009_remaster,13.3
53,11014_expert,10.2
54,11014_master,12.9
55,11015_expert,11.4
56,11015_master,12.8
57,11015_remaster,14.0
58,11016_expert,11.4
59,11016_master,13.4
60,11017_expert,10.8
61,11017_master,13.0
62,11018_expert,10.5
63,11018_master,13.5
64,11018_remaster,14.1
65,11019_expert,10.5
66,11019_master,12.9
67,11020_expert,11.6
68,11020_master,13.4
69,11021_expert,11.1
70,11021_master,13.7
71,11022_expert,11.2
72,11022_master,13.7
73,11023_expert,11.9
74,11023_master,13.8
75,11023_remaster,14.3
76,11026_expert,12.6
77,11026_master,14.7
78,11027_expert,12.5
79,11027_master,14.5
80,1103_expert,12.7
81,1103_master,14.3
82,11089_expert,13.0
83,11089_master,14.3
84,11090_expert,11.2
85,11090_master,13.2
86,11091_expert,10.8
87,11091_master,13.0
88,11092_expert,11.0
89,11092_master,13.7
90,11093_expert,11.8
91,11093_master,14.4
92,11094_expert,10.7
93,11094_master,13.4
94,11095_expert,10.8
95,11095_master,12.7
96,11096_expert,12.2
97,11096_master,13.9
98,11097_expert,10.6
99,11097_master,13.3
100,11098_expert,10.5
101,11098_master,13.2
102,11099_expert,10.2
103,11099_master,12.9
104,11100_expert,10.4
105,11100_master,12.8
106,11100_remaster,13.7
107,11101_expert,11.0
108,11101_master,13.9
109,11102_expert,12.7
110,11102_master,14.8
111,11103_expert,11.8
112,11103_master,14.6
113,11104_expert,10.0
114,11104_master,12.7
115,11105_expert,9.9
116,11105_master,13.4
117,11106_expert,13.0
118,11106_master,14.7
119,11152_expert,11.3
120,11152_master,13.0
121,11152_remaster,13.8
122,11153_expert,10.8
123,11153_master,13.1
124,11154_expert,11.8
125,11154_master,12.9
126,11155_expert,12.0
127,11155_master,14.4
128,11156_expert,11.0
129,11156_master,12.8
130,11157_expert,11.0
131,11157_master,13.4
132,11158_expert,11.0
133,11158_master,13.7
134,11159_expert,10.8
135,11159_master,13.7
136,11160_expert,12.5
137,11160_master,14.0
138,11161_expert,10.4
139,11161_master,12.9
140,11162_expert,10.0
141,11162_master,13.4
142,11163_expert,10.2
143,11163_master,12.8
144,11164_expert,11.2
145,11164_master,13.8
146,11165_expert,12.5
147,11165_master,14.7
148,11166_expert,10.7
149,11166_master,14.1
150,11167_expert,12.8
151,11167_master,14.5
152,11168_expert,10.8
153,11168_master,12.8
154,11169_expert,10.0
155,11169_master,12.8
156,11170_expert,9.8
157,11170_master,13.1
158,11214_expert,11.8
159,11214_master,13.6
160,11215_expert,12.2
161,11215_master,14.5
162,11221_expert,12.7
163,11221_master,14.4
164,11222_expert,12.8
165,11222_master,14.6
166,11223_expert,12.8
167,11223_master,14.8
168,11224_expert,10.7
169,11224_master,13.1
170,11225_expert,11.1
171,11225_master,13.8
172,11226_expert,10.0
173,11226_master,13.0
174,11227_expert,12.5
175,11227_master,14.3
176,11228_expert,10.7
177,11228_master,12.9
178,11228_remaster,13.1
179,11229_expert,10.9
180,11229_master,12.8
181,11230_expert,12.5
182,11230_master,14.3
183,11231_expert,11.7
184,11231_master,13.7
185,11232_expert,10.8
186,11232_master,13.8
187,11232_remaster,13.7
188,11233_expert,11.0
189,11233_master,14.0
190,11234_expert,12.5
191,11234_master,14.4
192,11235_expert,13.0
193,11235_master,14.7
194,11236_expert,12.0
195,11236_master,13.9
196,11237_expert,12.8
197,11237_master,13.9
198,11238_expert,12.4
199,11238_master,14.6
200,11296_expert,12.5
201,11296_master,13.7
202,11297_expert,10.8
203,11297_master,13.5
204,11298_expert,10.0
