chart,raw_level,bucket_label,cluster_id,distance_to_centroid,pca_x,pca_y
10030_master,13.7,13+,1,6.610217,10.820644,3.737374
10070_master,14.6,14+,2,14.030671,-1.349969,-4.011839
100_remaster,13.2,13,7,5.752255,12.022064,6.016181
10117_master,13.2,13,7,5.229245,12.452384,5.656438
10122_master,13.0,13,7,8.294977,14.121685,7.934783
10145_master,13.4,13,7,6.45487,14.713879,9.712411
10187_master,13.3,13,1,3.280612,8.351351,-0.652303
10190_master,13.1,13,6,4.077641,4.24424,-3.511231
10193_master,13.4,13,4,4.471199,-0.883648,-3.310077
10199_master,13.0,13,6,3.42259,4.731523,-4.531149
101_master,13.6,13+,1,6.149917,6.829753,-2.415158
10202_master,13.4,13,4,4.371461,-2.485241,-3.552482
10204_master,13.5,13,6,2.81293,4.426177,-4.129708
1020_master,13.8,13+,2,6.130118,0.21067,-2.880329
10225_master,13.4,13,2,3.226947,1.922096,-3.817721
10235_master,14.1,14,2,15.483148,-1.734022,-4.241347
10242_master,13.3,13,6,5.06926,7.334895,-1.213888
10251_master,13.3,13,6,5.912526,7.474784,-1.709654
10288_master,13.8,13+,6,4.051785,4.186821,-4.953074
10301_master,13.5,13,6,7.368784,5.135047,-4.732389
10302_master,13.4,13,6,2.858717,4.456111,-3.754109
10303_master,13.3,13,6,1.840146,5.655147,-3.353513
10315_master,13.0,13,6,2.405892,5.170986,-3.585395
10319_master,13.5,13,6,9.876177,4.16651,-5.65177
10363_master,13.6,13+,0,5.7963,-9.226454,2.503818
10366_master,13.7,13+,6,5.150458,5.428368,-3.198233
10367_master,13.7,13+,6,3.761062,6.648938,-3.027773
10375_master,13.2,13,1,2.891497,10.159698,1.650703
10404_master,13.4,13,6,2.03706,5.53088,-3.355853
10411_master,14.5,14,3,3.294575,-12.427184,7.279791
10422_master,13.9,13+,4,2.485014,-5.044847,-1.835721
10493_master,13.9,13+,4,4.558898,-1.526587,-3.005041
1051_master,14.2,14,4,5.189124,-6.254077,-0.218307
10552_master,13.2,13,6,3.401052,4.544479,-3.35359
10572_master,13.5,13,0,5.264757,-6.570708,-1.549322
10574_master,13.9,13+,0,3.256702,-7.531188,-0.634288
10593_master,13.5,13,0,7.537108,-5.15913,-1.917843
10602_master,14.0,14,0,2.430195,-8.592269,0.846188
10625_master,13.8,13+,2,6.183019,-0.529272,-3.870292
10641_master,13.6,13+,0,4.500101,-6.692198,-1.029838
10699_master,13.7,13+,2,2.242594,1.672812,-3.954953
106_master,13.5,13,7,6.737845,11.318157,3.82287
10734_master,13.5,13,0,11.017793,-3.193684,-3.857489
107_remaster,13.3,13,6,3.203727,5.840816,-3.109105
1081_master,13.2,13,7,7.742449,13.998863,10.742366
10835_master,13.0,13,7,11.919294,15.385279,7.997534
1085_master,14.3,14,3,4.080169,-11.876603,6.68483
109_master,13.7,13+,1,3.06019,9.736027,0.807407
11002_master,13.3,13,2,5.56211,-0.368421,-3.836036
11002_remaster,13.8,13+,0,2.202641,-8.038751,0.64241
11004_master,13.8,13+,0,5.643575,-5.364296,-1.902215
11004_remaster,14.2,14,0,3.459501,-8.146225,0.184141
11005_master,13.6,13+,0,7.195361,-4.064535,-2.620072
11005_remaster,14.4,14,0,4.514708,-8.19085,0.826537
11006_master,13.2,13,2,5.103203,0.743851,-4.75959
11007_remaster,13.8,13+,0,5.004829,-8.062674,1.100123
11009_remaster,13.3,13,6,2.99449,6.570966,-3.456851
11015_remaster,14.0,14,4,3.879767,-3.410237,-2.397571
11016_master,13.4,13,4,1.889657,-4.713445,-2.039307
11017_master,13.0,13,2,10.537265,-0.477898,-4.322826
11018_master,13.5,13,0,4.50594,-6.145514,-1.128303
11018_remaster,14.1,14,4,4.323639,-6.006759,-0.697632
11020_master,13.4,13,0,7.232169,-4.483463,-2.879737
11021_master,13.7,13+,1,8.185657,8.873443,-2.291306
11022_master,13.7,13+,4,7.862787,-2.990303,-3.54932
11023_master,13.8,13+,2,13.11908,-1.338462,-4.897497
11023_remaster,14.3,14,0,4.217069,-6.179058,-0.788431
11025_master,13.8,13+,0,2.849637,-8.224009,1.588555
11026_master,14.7,14+,3,4.46853,-11.880647,7.313066
11027_master,14.5,14,3,3.693573,-11.719432,5.469455
11028_expert,13.3,13,6,7.647032,6.124541,-1.897493
11028_master,13.9,13+,0,5.555564,-5.384865,-1.175697
11029_master,14.6,14+,0,4.98728,-9.657614,3.108223
11030_master,13.4,13,0,5.397272,-6.193643,-1.172408
11031_master,13.8,13+,0,4.014712,-6.998317,-0.661179
11032_master,13.7,13+,2,5.686346,-1.02603,-3.704234
1103_master,14.3,14,4,3.162409,-4.761471,-1.153969
11048_master,13.2,13,4,6.106832,-2.213068,-4.076566
11057_master,13.5,13,6,6.741272,5.10361,-4.681223
11058_master,13.3,13,6,8.085481,4.742436,-6.058469
11059_master,13.4,13,6,3.08313,4.775967,-4.081581
11064_master,13.8,13+,0,4.139914,-6.606993,-1.431259
11065_master,13.9,13+,3,4.562336,-11.648312,5.159834
11075_master,13.8,13+,2,7.067795,1.015261,-4.932354
11085_master,13.5,13,0,8.317821,-9.873217,2.60994
11089_expert,13.0,13,2,3.681754,2.06345,-5.192581
11089_master,14.3,14,0,2.840069,-8.353332,0.212013
11090_master,13.2,13,6,4.84627,5.823243,-4.461112
11091_master,13.0,13,1,5.448686,9.633583,-1.315096
11092_master,13.7,13+,2,4.729584,-0.513801,-3.745954
11093_master,14.4,14,3,4.599377,-12.806541,8.523367
11094_master,13.4,13,6,4.50757,6.681641,-3.889595
11096_master,13.9,13+,4,4.557626,-3.744308,-2.539853
11097_master,13.3,13,4,3.942025,-5.135936,-1.300436
11098_master,13.2,13,6,5.22896,7.257897,-2.594518
