chart,raw_level,bucket_label,cluster_id,distance_to_centroid,pca_x,pca_y
11222_master,14.6,14+,3,2.539551,-12.221059,7.037618
11530_master,14.8,14+,3,2.815538,-11.94473,6.874322
11471_master,14.2,14,3,2.873628,-11.390501,6.408619
11171_master,14.4,14,3,2.944329,-12.591969,6.822023
11687_master,14.5,14,3,3.058047,-11.624807,5.706336
11221_master,14.4,14,3,3.149879,-11.837556,6.168883
11685_master,14.8,14+,3,3.202908,-12.325312,7.24127
11174_master,14.2,14,3,3.217985,-11.670864,5.95563
11216_master,14.4,14,3,3.263358,-12.130349,7.435799
11684_master,14.5,14,3,3.267613,-12.16541,7.183821
11102_master,14.8,14+,3,3.281132,-11.492605,5.570779
10411_master,14.5,14,3,3.294575,-12.427184,7.279791
11625_master,14.4,14,3,3.348402,-11.737772,7.518912
11215_master,14.5,14,3,3.383075,-11.225299,6.220726
11899_master,13.8,13+,3,3.391247,-11.791282,5.936026
11672_master,14.4,14,3,3.466578,-12.358246,7.027002
719_master,14.3,14,3,3.573616,-12.746849,6.976796
11754_master,14.0,14,3,3.576648,-11.636335,6.118795
852_master,14.6,14+,3,3.599484,-12.477762,6.904002
492_master,14.0,14,3,3.603024,-12.482225,6.199347
11374_master,14.7,14+,3,3.610473,-12.288478,7.756664
495_master,13.9,13+,3,3.689067,-12.614903,6.257594
11027_master,14.5,14,3,3.693573,-11.719432,5.469455
11106_master,14.7,14+,3,3.697566,-11.910494,7.507347
11842_master,14.1,14,3,3.705166,-11.923742,7.236278
11746_master,14.8,14+,3,3.71844,-12.61403,8.286449
736_master,14.3,14,3,3.723287,-11.974308,6.144636
385_master,14.5,14,3,3.742206,-12.3714,6.130852
446_master,13.9,13+,3,3.799474,-12.223938,6.41684
11745_master,14.8,14+,3,3.88485,-11.366371,6.308531
11328_master,14.2,14,3,3.93495,-11.771041,6.623926
1085_master,14.3,14,3,4.080169,-11.876603,6.68483
581_master,14.5,14,3,4.086628,-12.479407,6.814557
812_remaster,14.8,14+,3,4.098264,-12.672477,7.876601
11677_master,14.5,14,3,4.111773,-12.492125,7.604793
797_master,14.2,14,3,4.128323,-11.6913,5.591671
11549_master,14.3,14,3,4.190943,-12.277062,7.943971
11155_master,14.4,14,3,4.208675,-11.015335,5.253187
779_master,14.8,14+,3,4.214982,-12.727581,8.212093
840_master,13.8,13+,3,4.254118,-11.82058,5.771972
833_master,14.8,14+,3,4.314739,-11.761519,5.278507
11446_master,14.5,14,3,4.339552,-11.37061,5.513332
11479_master,14.3,14,3,4.365059,-11.471446,5.242321
11391_master,14.8,14+,3,4.376514,-11.026434,4.904837
641_master,14.2,14,3,4.439104,-12.627696,7.534571
11294_master,14.3,14,3,4.444795,-11.686393,6.237679
1235_master,14.5,14,3,4.447041,-11.626073,5.295138
825_master,14.6,14+,3,4.458141,-12.857519,8.246085
11026_master,14.7,14+,3,4.46853,-11.880647,7.313066
363_master,14.5,14,3,4.474389,-12.329257,6.501123
11753_master,14.9,14+,3,4.503213,-10.874499,5.704416
421_master,14.3,14,3,4.512129,-12.10112,6.160432
11457_master,14.6,14+,3,4.551729,-12.090171,8.442069
11065_master,13.9,13+,3,4.562336,-11.648312,5.159834
11093_master,14.4,14,3,4.599377,-12.806541,8.523367
11575_master,14.0,14,3,4.604275,-12.129419,8.152502
799_master,14.8,14+,3,4.643384,-12.241149,5.575725
11752_master,14.7,14+,3,4.725224,-12.286514,8.233772
11318_master,14.4,14,3,4.76052,-10.751956,5.198903
799_remaster,14.9,14+,3,4.837328,-11.80145,5.420151
11405_master,14.1,14,3,4.876288,-12.436877,7.485619
11412_master,13.9,13+,3,4.88014,-10.962034,4.993827
11378_master,14.5,14,3,4.962788,-11.025596,4.398595
746_master,14.8,14+,3,4.96982,-12.878017,9.008134
773_master,14.8,14+,3,5.040065,-11.065198,4.637187
11315_master,14.5,14,3,5.050897,-11.011484,5.033066
11235_master,14.7,14+,3,5.058854,-11.01574,4.992833
11284_master,14.4,14,3,5.080075,-10.870502,4.74899
460_master,13.9,13+,3,5.09583,-11.488733,6.352568
11426_master,14.4,14,3,5.10806,-12.687564,8.94197
11331_master,13.9,13+,3,5.13535,-11.385728,5.387728
11248_master,14.3,14,3,5.317441,-12.77918,8.911967
496_master,14.7,14+,3,5.322068,-11.442792,4.904568
757_master,14.3,14,3,5.343289,-12.785499,8.796662
11223_master,14.8,14+,3,5.367886,-13.081546,9.094865
387_master,14.5,14,3,5.387594,-11.990065,6.811307
11470_master,14.7,14+,3,5.433534,-11.743134,7.756516
11537_master,14.8,14+,3,5.510632,-10.945665,5.403347
11810_master,14.7,14+,3,5.604548,-10.758133,4.521582
11516_master,14.5,14,3,5.608947,-12.335462,8.650661
11478_master,14.3,14,3,5.648592,-10.788843,4.312522
11394_master,14.9,14+,3,5.654285,-12.792882,9.343898
11281_master,14.4,14,3,5.68743,-11.101346,4.782876
11876_master,14.4,14,3,5.754307,-10.617911,4.150374
11389_master,14.5,14,3,5.782372,-11.859264,6.286032
11413_master,13.9,13+,3,5.806083,-10.80125,4.484446
11612_master,14.9,14+,3,5.92784,-12.8467,10.044692
844_master,14.7,14+,3,5.955983,-12.414926,7.193766
11241_remaster,13.8,13+,3,5.978468,-11.42783,5.164106
11917_master,14.1,14,3,5.993075,-10.977466,4.501034
389_remaster,14.2,14,3,6.020362,-10.715671,4.532441
11523_master,14.6,14+,3,6.144475,-10.419826,4.353516
11230_master,14.3,14,3,6.175916,-10.597662,4.488536
825_remaster,14.8,14+,3,6.247909,-13.198145,9.935253
11789_master,14.4,14,3,6.345744,-10.368362,4.419333
411_master,13.9,13+,3,6.351748,-11.010308,3.630818
531_master,14.6,14+,3,6.485208,-10.609876,4.442186
204_remaster,14.4,14,3,6.523909,-10.938547,4.432375
568_master,14.0,14,3,6.602984,-10.845969,3.750418
11699_master,13.6,13+,3,6.625121,-10.853976,4.82972
11821_master,14.0,14,3,6.703103,-11.28677,7.089667
11818_master,14.9,14+,3,6.937701,-13.366205,9.68097
11343_remaster,14.3,14,3,6.945302,-10.113036,4.222581
11686_master,14.6,14+,3,7.076626,-13.381142,10.108942
11234_master,14.4,14,3,7.451174,-12.047606,8.052313
11472_master,14.1,14,3,7.523973,-10.399539,4.143384
11663_master,14.7,14+,3,7.992383,-13.377888,9.656505
11720_master,14.7,14+,3,8.00811,-13.491876,9.500244
834_master,14.9,14+,3,8.263091,-13.558146,10.690272
