chart,true_label,pred_label,raw_level,cluster_id,distance_to_centroid,density_load,rhythm_complexity,movement_stretch,occupancy_pressure,slide_complexity,touch_cross_mix
238_master,13+,13,13.8,2,0.675301,-0.397608,0.583787,-0.455123,-0.350276,-0.879017,-0.613803
117_master,13+,13,13.7,2,2.313149,-1.375752,-0.371367,-1.872399,1.220156,-0.014524,-0.835018
786_master,13+,13,13.8,0,2.196188,-1.713719,-1.621862,0.750861,1.916377,0.969639,-0.497177
11543_master,13+,13,13.7,6,1.135785,-0.340334,0.089028,-0.923746,-0.123962,0.008984,0.207866
11779_remaster,13+,13,13.7,0,0.95909,-0.724605,-0.019338,-0.245979,-0.114972,0.130986,0.179631
548_master,13+,13,13.8,5,0.683342,-0.694782,-0.265506,0.574483,0.229089,-0.245599,-0.487091
380_master,13+,13,13.7,7,0.795325,0.182709,-1.24747,-0.017652,-0.241262,-0.257038,-0.584582
11232_remaster,13+,13,13.7,3,1.138648,-0.590122,-0.483212,-0.499426,0.923256,0.578002,1.026972
345_master,13+,13,13.6,5,1.234499,-0.417924,0.210685,0.611895,-0.934896,-0.736094,-0.571016
11584_master,13+,13,13.6,5,0.818971,-0.099801,0.726897,-0.08474,-0.032069,-0.198349,-0.088183
326_master,13+,13,13.7,5,1.261785,-1.004358,0.256148,0.591223,-0.700549,-0.972406,0.088473
11834_master,13+,13,13.7,5,0.580817,-0.351191,0.216629,0.122208,0.194677,-0.107964,0.158051
