pair_name,axis_name,delta,pair_mean,reference_mean
14->13+,density_load,-1.173993,-0.260905,0.913088
14->13+,rhythm_complexity,0.667151,0.58529,-0.081861
13+->13,density_load,-0.644169,-0.627291,0.016878
14->13+,slide_complexity,0.537505,0.494526,-0.04298
13+->14,density_load,0.532162,0.54904,0.016878
13+->14,rhythm_complexity,-0.316054,-0.244528,0.071526
14->13+,occupancy_pressure,-0.300674,-0.304808,-0.004134
13+->14,touch_cross_mix,-0.270263,-0.205822,0.064441
13+->13,occupancy_pressure,0.268291,0.165464,-0.102827
13+->13,touch_cross_mix,-0.232431,-0.16799,0.064441
13+->13,rhythm_complexity,-0.231991,-0.160465,0.071526
13+->13,movement_stretch,-0.20739,-0.1207,0.086691
13+->14,slide_complexity,-0.173648,-0.167684,0.005964
14->13+,movement_stretch,-0.166969,-0.08857,0.078399
13+->13,slide_complexity,-0.149579,-0.143615,0.005964
13+->14,occupancy_pressure,-0.148095,-0.250923,-0.102827
13+->14,movement_stretch,-0.087382,-0.000691,0.086691
14->13+,touch_cross_mix,-0.008752,-0.155383,-0.146631
