rank,chart,raw_level,bucket_label,cluster_id,axis_name,axis_score,distance_to_centroid,pca_x,pca_y
1,753_master,13.8,13+,4,density_load,-2.359798,1.993645,-2.432696,0.278695
2,11100_remaster,13.7,13+,0,density_load,-2.086111,1.694412,-2.210383,-0.244248
3,835_master,13.4,13,5,density_load,-2.070072,3.166926,-2.753224,0.053345
4,216_master,13.3,13,4,density_load,-1.994292,2.790936,-2.598081,0.341464
5,330_master,13.2,13,0,density_load,-1.985215,2.024138,-2.490745,0.292978
6,378_master,13.2,13,0,density_load,-1.970203,3.152219,-2.521537,0.22954
7,230_master,13.3,13,0,density_load,-1.847165,1.911051,-2.329743,-0.860411
8,11251_remaster,13.0,13,4,density_load,-1.83174,2.041959,-2.188622,1.487436
9,786_master,13.8,13+,0,density_load,-1.713719,2.196188,-2.278357,-1.168828
10,11700_master,13.3,13,0,density_load,-1.709792,2.573601,-2.007497,-0.623538
11,11236_master,13.9,13+,0,density_load,-1.704221,1.184112,-2.00084,-0.088702
12,265_master,13.3,13,4,density_load,-1.654567,2.217599,-1.950622,1.273492
13,11911_master,13.0,13,0,density_load,-1.61654,1.088463,-1.808285,0.032028
14,308_master,13.7,13+,4,density_load,-1.61515,2.422322,-2.317748,1.365448
15,828_master,13.5,13,4,density_load,-1.593137,2.880887,-2.396932,1.867941
16,11777_master,13.2,13,4,density_load,-1.585102,2.020867,-1.918172,1.382565
17,11858_master,13.0,13,0,density_load,-1.561819,1.681321,-1.514911,0.232767
18,295_remaster,13.7,13+,5,density_load,-1.503791,2.345545,-2.10394,0.441208
19,674_master,13.3,13,0,density_load,-1.503148,1.21314,-1.434727,0.082436
20,802_master,13.3,13,0,density_load,-1.488087,1.700137,-1.911365,0.097973
21,11601_master,13.2,13,3,density_load,-1.447324,1.845321,-1.720643,1.054135
22,683_master,13.0,13,0,density_load,-1.44517,1.12537,-1.605529,0.053688
23,265_remaster,13.3,13,5,density_load,-1.408597,1.35201,-1.542743,-0.169998
24,574_master,13.8,13+,0,density_load,-1.397697,0.778872,-1.641105,-0.497969
25,777_remaster,13.8,13+,4,density_load,-1.380883,2.14472,-1.768361,1.527589
26,117_master,13.7,13+,2,density_load,-1.375752,2.313149,-1.593413,-0.169726
27,11909_master,13.6,13+,0,density_load,-1.37105,1.056179,-1.704595,0.211626
28,11419_master,13.9,13+,0,density_load,-1.352649,1.797077,-1.640882,0.744666
29,152_master,13.2,13,5,density_load,-1.352563,1.333087,-1.25282,-0.556279
30,66_master,13.0,13,5,density_load,-1.338192,1.420984,-0.871206,-0.671884
31,58_master,13.0,13,4,density_load,-1.33801,1.421567,-1.474912,0.289839
32,11429_expert,13.0,13,7,density_load,-1.322922,2.055413,-1.307469,-1.954036
33,155_master,13.2,13,5,density_load,-1.309284,1.293889,-1.449293,-0.348099
34,11845_master,13.0,13,0,density_load,-1.300804,0.960348,-1.564352,-0.52529
35,751_master,13.2,13,0,density_load,-1.297251,0.769861,-1.30772,-0.267117
36,11504_master,13.4,13,4,density_load,-1.287633,2.773359,-1.838269,2.585112
37,236_master,13.3,13,0,density_load,-1.285488,0.94723,-1.440087,-0.840713
38,11451_master,13.5,13,0,density_load,-1.278452,1.388489,-1.441634,0.425772
39,11773_master,13.1,13,0,density_load,-1.270687,0.887886,-1.3102,0.236902
40,281_master,13.2,13,5,density_load,-1.270395,1.054076,-1.451558,-0.193963
41,694_master,13.4,13,0,density_load,-1.263901,1.140703,-1.546445,-0.843269
42,690_master,13.3,13,0,density_load,-1.257155,0.792869,-1.471488,-0.894158
43,408_master,13.3,13,4,density_load,-1.256435,1.369141,-1.645888,0.598393
44,606_expert,13.3,13,0,density_load,-1.249245,1.462865,-1.511525,-0.866122
45,310_remaster,13.2,13,0,density_load,-1.23852,2.14272,-1.905496,-0.100519
46,100_remaster,13.2,13,4,density_load,-1.234444,1.328018,-1.400087,0.362935
47,278_master,13.3,13,0,density_load,-1.231793,0.964552,-1.221724,-0.770918
48,58_remaster,13.4,13,4,density_load,-1.227403,0.756941,-1.304713,0.556879
49,11701_master,13.0,13,4,density_load,-1.199661,1.17659,-1.405422,1.051862
50,466_master,13.3,13,0,density_load,-1.193102,0.80788,-1.295049,-0.1324
