rank,chart,raw_level,bucket_label,cluster_id,axis_name,axis_score,distance_to_centroid,pca_x,pca_y
1,387_master,14.5,14,1,density_load,5.034781,3.872988,5.097216,0.914303
2,850_master,14.2,14,1,density_load,4.04626,2.963702,3.989369,-0.803764
3,11879_master,14.9,14+,1,density_load,3.525667,2.327147,3.280209,1.311681
4,11707_master,14.5,14,1,density_load,2.96805,1.566961,2.948674,0.256746
5,11673_master,14.6,14+,1,density_load,2.935748,1.478858,2.834671,0.542147
6,834_master,14.9,14+,1,density_load,2.887784,1.554537,2.650294,0.302257
7,143_master,14.2,14,1,density_load,2.855406,3.280295,3.713819,-1.018303
8,11820_master,14.9,14+,1,density_load,2.716673,1.416284,2.615866,0.787623
9,11661_master,14.7,14+,1,density_load,2.65465,1.384492,2.492279,0.589931
10,11619_master,14.7,14+,1,density_load,2.651802,1.433594,2.546497,0.693773
11,11646_master,14.6,14+,1,density_load,2.642663,1.437297,2.474183,0.653786
12,11026_master,14.7,14+,1,density_load,2.374659,1.148503,2.415934,0.439108
13,11537_master,14.8,14+,1,density_load,2.323618,1.679822,2.061542,1.037854
14,11374_master,14.7,14+,1,density_load,2.260683,1.002869,2.371731,-0.10299
15,11818_master,14.9,14+,1,density_load,2.241388,1.301025,1.987742,1.116606
16,11343_remaster,14.3,14,1,density_load,2.231875,1.09891,2.083238,0.450968
17,11102_master,14.8,14+,1,density_load,2.198949,0.858143,2.162403,0.475331
18,11746_master,14.8,14+,1,density_load,2.18547,1.142321,2.031163,-0.028203
19,460_master,13.9,13+,1,density_load,2.16527,0.960204,2.276328,-0.02195
20,11662_master,14.9,14+,1,density_load,2.139607,0.827364,2.105355,0.375948
21,11311_master,14.9,14+,1,density_load,2.13331,1.483406,1.70426,1.001024
22,757_master,14.3,14,1,density_load,2.042832,1.635905,2.14528,-1.283362
23,11391_master,14.8,14+,1,density_load,2.037325,0.6325,2.04448,0.000169
24,11394_master,14.9,14+,1,density_load,2.035851,0.779683,1.917381,0.257057
25,852_master,14.6,14+,1,density_load,2.02084,1.510622,1.962064,-0.785232
26,456_master,14.8,14+,1,density_load,1.992043,1.662022,2.269919,-1.328551
27,10411_master,14.5,14,1,density_load,1.97056,0.992464,2.02976,-0.538605
28,11415_master,13.9,13+,1,density_load,1.966597,0.773982,1.861623,0.060948
29,11175_master,13.8,13+,1,density_load,1.961891,1.628558,1.971463,0.60271
30,799_remaster,14.9,14+,1,density_load,1.960474,0.984048,1.85121,0.150518
31,11809_master,14.6,14+,1,density_load,1.956014,1.431701,1.690176,1.342086
32,11612_master,14.9,14+,1,density_load,1.918077,0.882743,1.848215,0.602497
33,22_remaster,14.8,14+,1,density_load,1.910101,0.937921,1.994646,0.053333
34,11333_remaster,13.9,13+,1,density_load,1.902137,1.838703,2.217091,-0.730421
35,363_master,14.5,14,1,density_load,1.882504,1.198432,2.210191,-0.191681
36,11663_master,14.7,14+,1,density_load,1.865432,1.055386,1.990862,0.633442
37,825_remaster,14.8,14+,1,density_load,1.84736,0.601184,1.882176,0.241138
38,11720_master,14.7,14+,1,density_load,1.83685,1.219609,1.962221,-0.62197
39,11457_master,14.6,14+,1,density_load,1.833875,0.844542,1.807879,0.87472
40,11065_master,13.9,13+,1,density_load,1.824379,1.04257,2.027135,-0.559224
41,11530_master,14.8,14+,1,density_load,1.820675,0.800911,1.882775,0.412779
42,11027_master,14.5,14,1,density_load,1.809223,0.835227,1.844691,0.000176
43,11753_master,14.9,14+,1,density_load,1.808776,1.434859,1.662234,1.434391
44,797_master,14.2,14,1,density_load,1.794431,1.050768,1.836174,0.562757
45,803_remaster,14.9,14+,1,density_load,1.79023,1.477351,1.7729,1.115014
46,11029_master,14.6,14+,1,density_load,1.78827,0.819733,1.95639,0.408772
47,11379_master,14.9,14+,3,density_load,1.783154,2.34767,1.284681,1.698524
48,11516_master,14.5,14,1,density_load,1.770072,0.969041,1.902189,0.232625
49,70_remaster,14.2,14,1,density_load,1.744594,1.615224,1.361867,-0.331491
50,11470_master,14.7,14+,1,density_load,1.728186,1.372528,1.865588,0.214484
