rank,chart,raw_level,bucket_label,cluster_id,axis_name,axis_score,distance_to_centroid,pca_x,pca_y
1,224_master,14.0,14,2,movement_stretch,-2.909702,2.51727,0.867533,-0.961532
2,689_expert,13.3,13,2,movement_stretch,-2.880445,2.571589,-0.707934,1.072167
3,219_master,13.6,13+,2,movement_stretch,-2.696257,2.013523,0.371301,-0.571009
4,218_master,13.4,13,2,movement_stretch,-2.272913,1.716637,-0.472151,-0.836277
5,191_master,14.1,14,2,movement_stretch,-2.206715,2.190699,0.810267,1.07375
6,142_expert,13.0,13,2,movement_stretch,-2.139726,1.811382,-0.585133,-0.980264
7,214_master,13.2,13,2,movement_stretch,-1.925192,1.528573,-0.938281,0.077031
8,132_expert,13.1,13,2,movement_stretch,-1.904452,1.495562,0.066415,0.198472
9,117_master,13.7,13+,2,movement_stretch,-1.872399,2.313149,-1.593413,-0.169726
10,139_master,13.4,13,2,movement_stretch,-1.728939,1.947643,0.375509,-1.604597
11,347_master,13.8,13+,4,movement_stretch,-1.572633,1.560691,-0.735138,0.586387
12,11597_master,13.1,13,4,movement_stretch,-1.567149,2.374886,-1.065074,1.118521
13,114_master,13.6,13+,4,movement_stretch,-1.552982,1.994611,-0.723929,1.121375
14,777_remaster,13.8,13+,4,movement_stretch,-1.5412,2.14472,-1.768361,1.527589
15,113_expert,13.0,13,2,movement_stretch,-1.43817,2.019042,0.265656,-1.924573
16,261_master,13.8,13+,2,movement_stretch,-1.419329,1.319281,0.595015,-1.094679
17,11152_remaster,13.8,13+,6,movement_stretch,-1.406008,1.583503,0.650115,0.248512
18,226_master,13.4,13,2,movement_stretch,-1.360356,0.941329,-0.408926,-0.865285
19,11604_master,13.7,13+,2,movement_stretch,-1.34943,1.543399,0.480913,-1.028819
20,749_master,13.1,13,2,movement_stretch,-1.342612,1.003958,-0.839109,-0.401085
21,11111_master,13.2,13,3,movement_stretch,-1.288001,1.332617,-0.710188,0.413782
22,606_master,14.0,14,6,movement_stretch,-1.267962,1.412558,-0.21639,0.210206
23,11388_expert,13.5,13,2,movement_stretch,-1.267196,1.735714,-0.39617,0.701829
24,134_master,13.2,13,4,movement_stretch,-1.252916,1.850105,-1.300317,0.646721
25,681_master,13.5,13,2,movement_stretch,-1.182157,0.577073,-0.034117,0.148189
26,11388_master,14.8,14+,3,movement_stretch,-1.162506,2.187004,0.860397,0.487828
27,11631_master,13.7,13+,4,movement_stretch,-1.142076,1.037775,-0.395884,0.936296
28,11105_master,13.4,13,3,movement_stretch,-1.134176,1.315975,-0.164702,0.321381
29,11865_master,13.3,13,6,movement_stretch,-1.117325,1.322694,0.114337,0.051909
30,144_master,13.3,13,2,movement_stretch,-1.103381,0.950214,0.25954,-0.743289
31,11379_expert,13.7,13+,3,movement_stretch,-1.103184,1.468157,0.399482,0.495653
32,11652_master,13.8,13+,3,movement_stretch,-1.094356,2.224936,0.794078,0.352603
33,11662_expert,13.7,13+,2,movement_stretch,-1.070888,1.203695,0.554892,0.526464
34,837_master,13.7,13+,4,movement_stretch,-1.060388,1.874457,-1.303532,0.796375
35,110_master,13.0,13,2,movement_stretch,-1.04898,1.137519,-0.881732,-0.132685
36,75_master,13.4,13,2,movement_stretch,-1.043165,1.613069,-0.402663,-1.7782
37,35_master,13.3,13,2,movement_stretch,-1.040945,2.128943,-0.40914,0.821844
38,11057_master,13.5,13,1,movement_stretch,-1.040286,1.269731,1.554133,0.78173
39,589_remaster,14.3,14,6,movement_stretch,-1.030061,1.359829,0.532317,0.242957
40,11487_master,13.0,13,3,movement_stretch,-1.005078,1.068029,-0.448553,0.362341
41,753_master,13.8,13+,4,movement_stretch,-1.003333,1.993645,-2.432696,0.278695
42,11555_master,13.4,13,6,movement_stretch,-1.000988,0.992102,0.474253,0.174655
43,11908_master,13.3,13,4,movement_stretch,-0.993265,1.213235,-0.85013,1.252546
44,11718_master,13.3,13,4,movement_stretch,-0.990733,1.433372,-1.281227,1.539935
45,11862_master,13.5,13,6,movement_stretch,-0.989171,1.449698,-0.300167,0.646214
46,83_master,13.4,13,2,movement_stretch,-0.985602,1.098484,-0.48251,-0.051338
47,11175_master,13.8,13+,1,movement_stretch,-0.984936,1.628558,1.971463,0.60271
48,11650_master,13.1,13,3,movement_stretch,-0.980074,6.685686,-0.987725,3.174715
49,833_master,14.8,14+,1,movement_stretch,-0.95206,1.249847,1.700071,0.248548
50,198_master,13.2,13,2,movement_stretch,-0.951937,0.981914,-0.776019,-0.560568
