rank,chart,raw_level,bucket_label,cluster_id,axis_name,axis_score,distance_to_centroid,pca_x,pca_y
1,835_master,13.4,13,5,movement_stretch,1.820923,3.166926,-2.753224,0.053345
2,636_master,13.3,13,5,movement_stretch,1.785013,1.75479,-0.914744,-1.045165
3,378_master,13.2,13,0,movement_stretch,1.566188,3.152219,-2.521537,0.22954
4,11333_remaster,13.9,13+,1,movement_stretch,1.407653,1.838703,2.217091,-0.730421
5,670_master,13.6,13+,7,movement_stretch,1.382356,1.270213,-0.351063,-1.605032
6,506_master,13.3,13,0,movement_stretch,1.330626,1.513991,-1.199637,-1.426851
7,472_master,13.5,13,5,movement_stretch,1.298043,1.439672,-0.411974,0.45745
8,265_remaster,13.3,13,5,movement_stretch,1.29403,1.35201,-1.542743,-0.169998
9,227_master,14.2,14,7,movement_stretch,1.292403,1.224728,0.681328,-1.17536
10,711_master,13.8,13+,7,movement_stretch,1.258246,1.211215,0.5689,-1.156128
11,235_master,14.1,14,5,movement_stretch,1.233475,1.85833,-0.772412,0.696984
12,511_master,13.4,13,7,movement_stretch,1.221493,1.296452,-0.61665,-1.473477
13,11617_master,13.8,13+,5,movement_stretch,1.202213,1.78782,0.481249,0.824921
14,472_remaster,14.0,14,7,movement_stretch,1.198678,1.126642,0.247596,-0.647415
15,11429_expert,13.0,13,7,movement_stretch,1.182788,2.055413,-1.307469,-1.954036
16,739_master,13.7,13+,0,movement_stretch,1.152508,2.009652,-1.118649,-0.617563
17,295_remaster,13.7,13+,5,movement_stretch,1.140818,2.345545,-2.10394,0.441208
18,606_expert,13.3,13,0,movement_stretch,1.12999,1.462865,-1.511525,-0.866122
19,11586_master,13.3,13,5,movement_stretch,1.125816,1.07165,-1.146777,-0.045558
20,561_master,13.7,13+,7,movement_stretch,1.123864,1.113901,-0.185335,-0.918463
21,11297_master,13.5,13,5,movement_stretch,1.111273,1.224238,-0.070859,-0.277569
22,262_master,13.7,13+,7,movement_stretch,1.107163,1.122613,-0.370473,-1.232971
23,438_master,13.4,13,5,movement_stretch,1.096183,1.041377,-0.027114,-0.471021
24,533_master,13.0,13,7,movement_stretch,1.093275,1.010503,-0.35113,-0.934404
25,62_remaster,13.1,13,5,movement_stretch,1.091099,1.15053,-1.062261,0.299489
26,247_master,13.4,13,5,movement_stretch,1.056757,1.028559,-0.418826,0.231949
27,23_remaster,13.7,13+,5,movement_stretch,1.047453,1.337468,-1.191099,0.256335
28,756_remaster,13.8,13+,7,movement_stretch,1.011356,1.401572,0.922602,-1.222375
29,688_expert,13.0,13,5,movement_stretch,1.004057,0.944349,-0.75049,0.370716
30,663_master,13.4,13,5,movement_stretch,0.993288,0.653493,-0.402457,-0.073606
31,565_master,13.3,13,7,movement_stretch,0.983061,0.782646,-0.049455,-0.767745
32,615_master,13.2,13,5,movement_stretch,0.971891,0.699746,-0.785738,0.012105
33,11745_master,14.8,14+,1,movement_stretch,0.969785,1.098281,1.036884,-0.25437
34,11700_master,13.3,13,0,movement_stretch,0.967304,2.573601,-2.007497,-0.623538
35,381_master,14.0,14,5,movement_stretch,0.964693,0.842667,-0.275562,-0.630924
36,230_master,13.3,13,0,movement_stretch,0.958239,1.911051,-2.329743,-0.860411
37,231_master,13.2,13,5,movement_stretch,0.927733,1.071513,-0.498668,-0.626752
38,11859_master,13.8,13+,3,movement_stretch,0.927711,1.509003,-0.705401,0.775916
39,815_master,13.3,13,5,movement_stretch,0.922859,1.133048,-1.145571,0.334387
40,11369_remaster,13.5,13,5,movement_stretch,0.922027,0.786069,-0.146737,0.19731
41,628_master,13.7,13+,5,movement_stretch,0.914589,0.667982,-0.724961,0.058825
42,313_master,13.2,13,5,movement_stretch,0.910112,0.916507,-0.44583,-0.705668
43,584_master,13.3,13,5,movement_stretch,0.893783,0.983242,-0.078006,-0.218004
44,367_master,13.4,13,5,movement_stretch,0.889232,0.699349,-0.988571,-0.381349
45,351_master,13.2,13,5,movement_stretch,0.887247,0.774557,-1.101937,-0.176995
46,240_remaster,14.5,14,7,movement_stretch,0.88684,1.091317,0.282094,-0.409385
47,431_expert,13.0,13,7,movement_stretch,0.8844,0.841246,0.166134,-1.11636
48,630_master,13.4,13,5,movement_stretch,0.878949,0.683506,-0.284505,-0.236565
49,386_master,13.8,13+,5,movement_stretch,0.877213,0.864526,-0.125886,0.008613
50,760_master,14.1,14,1,movement_stretch,0.873444,1.322496,0.791203,0.435188
