rank,chart,raw_level,bucket_label,cluster_id,axis_name,axis_score,distance_to_centroid,pca_x,pca_y
1,143_master,14.2,14,1,occupancy_pressure,-3.018294,3.280295,3.713819,-1.018303
2,10363_master,13.6,13+,1,occupancy_pressure,-1.301991,1.31909,1.577234,0.238135
3,113_expert,13.0,13,2,occupancy_pressure,-1.290404,2.019042,0.265656,-1.924573
4,387_master,14.5,14,1,occupancy_pressure,-1.256393,3.872988,5.097216,0.914303
5,56_master,13.4,13,2,occupancy_pressure,-1.177054,1.315624,-0.39816,-0.159698
6,11333_remaster,13.9,13+,1,occupancy_pressure,-1.174668,1.838703,2.217091,-0.730421
7,339_master,13.9,13+,1,occupancy_pressure,-1.174083,1.293536,1.598773,-0.54586
8,11048_master,13.2,13,3,occupancy_pressure,-1.142293,1.682686,0.117071,-0.389742
9,204_master,13.3,13,7,occupancy_pressure,-1.122435,1.792549,0.637673,-2.45094
10,363_master,14.5,14,1,occupancy_pressure,-1.101325,1.198432,2.210191,-0.191681
11,268_master,13.8,13+,2,occupancy_pressure,-1.099486,1.517666,-0.155905,-1.672666
12,534_master,14.0,14,2,occupancy_pressure,-1.087642,1.872822,1.504782,-0.885056
13,113_master,13.4,13,7,occupancy_pressure,-1.08737,1.669614,-0.118482,-1.924767
14,115_master,13.8,13+,7,occupancy_pressure,-1.065778,1.505802,0.683617,-1.015609
15,388_expert,13.3,13,7,occupancy_pressure,-1.057443,1.211753,-0.368144,-1.16177
16,258_master,13.8,13+,1,occupancy_pressure,-1.054231,1.391239,1.965446,-0.998148
17,66_master,13.0,13,5,occupancy_pressure,-0.991008,1.420984,-0.871206,-0.671884
18,11535_master,13.9,13+,6,occupancy_pressure,-0.983583,1.732344,1.042945,-0.862043
19,11204_master,13.7,13+,7,occupancy_pressure,-0.973195,1.007633,0.815534,-0.838095
20,10193_master,13.4,13,7,occupancy_pressure,-0.95586,0.991431,0.689611,-0.533369
21,11149_master,14.2,14,1,occupancy_pressure,-0.94556,1.762305,1.395934,1.577254
22,345_master,13.6,13+,5,occupancy_pressure,-0.934896,1.234499,-0.008817,-0.649565
23,537_master,13.4,13,5,occupancy_pressure,-0.927061,1.346654,0.368524,-0.322303
24,456_master,14.8,14+,1,occupancy_pressure,-0.918937,1.662022,2.269919,-1.328551
25,11470_master,14.7,14+,1,occupancy_pressure,-0.902791,1.372528,1.865588,0.214484
26,10734_master,13.5,13,3,occupancy_pressure,-0.8955,1.180985,0.313537,0.41965
27,11405_master,14.1,14,6,occupancy_pressure,-0.891787,1.166588,0.722685,-0.308492
28,204_remaster,14.4,14,1,occupancy_pressure,-0.890833,1.596186,1.568649,-1.3876
29,288_master,13.8,13+,1,occupancy_pressure,-0.878242,1.322829,1.045773,-0.284332
30,139_master,13.4,13,2,occupancy_pressure,-0.871857,1.947643,0.375509,-1.604597
31,11283_master,13.9,13+,1,occupancy_pressure,-0.869026,1.253459,1.00811,0.743142
32,492_master,14.0,14,1,occupancy_pressure,-0.866285,0.898345,1.506477,-0.4097
33,382_master,13.3,13,2,occupancy_pressure,-0.861046,0.891525,0.083558,-1.017133
34,11004_master,13.8,13+,7,occupancy_pressure,-0.860855,1.348765,0.571304,-0.67512
35,325_master,13.4,13,7,occupancy_pressure,-0.831306,0.725892,0.18907,-1.131614
36,114_master,13.6,13+,4,occupancy_pressure,-0.826695,1.994611,-0.723929,1.121375
37,11663_master,14.7,14+,1,occupancy_pressure,-0.824913,1.055386,1.990862,0.633442
38,144_master,13.3,13,2,occupancy_pressure,-0.822855,0.950214,0.25954,-0.743289
39,844_master,14.7,14+,1,occupancy_pressure,-0.816783,1.251268,1.916987,-0.752429
40,35_master,13.3,13,2,occupancy_pressure,-0.800119,2.128943,-0.40914,0.821844
41,11319_master,13.9,13+,1,occupancy_pressure,-0.796975,1.201617,1.757388,-0.287443
42,756_remaster,13.8,13+,7,occupancy_pressure,-0.793343,1.401572,0.922602,-1.222375
43,431_expert,13.0,13,7,occupancy_pressure,-0.792287,0.841246,0.166134,-1.11636
44,10288_master,13.8,13+,6,occupancy_pressure,-0.78573,1.13569,0.470265,-0.024333
45,453_master,13.5,13,7,occupancy_pressure,-0.785023,0.772397,0.267142,-0.962443
46,11065_master,13.9,13+,1,occupancy_pressure,-0.784522,1.04257,2.027135,-0.559224
47,454_master,13.7,13+,5,occupancy_pressure,-0.780972,1.044478,0.270128,-0.076406
48,193_master,13.3,13,5,occupancy_pressure,-0.778919,1.383868,-0.153753,-0.707004
49,11404_master,13.7,13+,6,occupancy_pressure,-0.776671,1.24538,0.636614,0.241826
50,11508_master,13.2,13,7,occupancy_pressure,-0.769155,0.607623,0.049962,-0.904868
