rank,chart,raw_level,bucket_label,cluster_id,axis_name,axis_score,distance_to_centroid,pca_x,pca_y
1,828_master,13.5,13,4,occupancy_pressure,2.45863,2.880887,-2.396932,1.867941
2,216_master,13.3,13,4,occupancy_pressure,2.452158,2.790936,-2.598081,0.341464
3,308_master,13.7,13+,4,occupancy_pressure,2.432601,2.422322,-2.317748,1.365448
4,835_master,13.4,13,5,occupancy_pressure,2.409758,3.166926,-2.753224,0.053345
5,310_remaster,13.2,13,0,occupancy_pressure,2.345528,2.14272,-1.905496,-0.100519
6,11023_master,13.8,13+,3,occupancy_pressure,2.331014,2.869945,-1.069565,1.551051
7,11597_master,13.1,13,4,occupancy_pressure,2.111536,2.374886,-1.065074,1.118521
8,295_remaster,13.7,13+,5,occupancy_pressure,2.010918,2.345545,-2.10394,0.441208
9,739_master,13.7,13+,0,occupancy_pressure,1.961427,2.009652,-1.118649,-0.617563
10,786_master,13.8,13+,0,occupancy_pressure,1.916377,2.196188,-2.278357,-1.168828
11,330_master,13.2,13,0,occupancy_pressure,1.842555,2.024138,-2.490745,0.292978
12,230_master,13.3,13,0,occupancy_pressure,1.783339,1.911051,-2.329743,-0.860411
13,11504_master,13.4,13,4,occupancy_pressure,1.47231,2.773359,-1.838269,2.585112
14,11028_expert,13.3,13,0,occupancy_pressure,1.447982,1.390383,-1.333158,-0.009918
15,265_master,13.3,13,4,occupancy_pressure,1.44445,2.217599,-1.950622,1.273492
16,408_master,13.3,13,4,occupancy_pressure,1.409384,1.369141,-1.645888,0.598393
17,777_remaster,13.8,13+,4,occupancy_pressure,1.364676,2.14472,-1.768361,1.527589
18,140_master,13.3,13,5,occupancy_pressure,1.306452,1.656283,-1.279865,-0.341159
19,11512_master,13.7,13+,5,occupancy_pressure,1.26501,1.355838,-0.496823,0.258012
20,117_master,13.7,13+,2,occupancy_pressure,1.220156,2.313149,-1.593413,-0.169726
21,378_master,13.2,13,0,occupancy_pressure,1.200457,3.152219,-2.521537,0.22954
22,11638_master,13.8,13+,0,occupancy_pressure,1.169368,1.412008,-0.887718,-0.345275
23,23_remaster,13.7,13+,5,occupancy_pressure,1.129726,1.337468,-1.191099,0.256335
24,1081_master,13.2,13,0,occupancy_pressure,1.122339,1.514342,-1.292858,0.090452
25,802_master,13.3,13,0,occupancy_pressure,1.081011,1.700137,-1.911365,0.097973
26,11236_master,13.9,13+,0,occupancy_pressure,1.075272,1.184112,-2.00084,-0.088702
27,432_master,14.0,14,7,occupancy_pressure,1.056171,1.557351,-0.766559,-1.457376
28,11401_master,13.2,13,3,occupancy_pressure,1.049501,1.290885,-0.185115,1.133708
29,694_master,13.4,13,0,occupancy_pressure,1.049365,1.140703,-1.546445,-0.843269
30,11613_master,13.5,13,4,occupancy_pressure,1.044929,1.223544,-0.729485,0.674226
31,11812_master,13.8,13+,3,occupancy_pressure,1.037623,1.484915,-0.788281,1.697996
32,11005_remaster,14.4,14,3,occupancy_pressure,1.012609,1.661502,-0.05907,-0.055534
33,134_master,13.2,13,4,occupancy_pressure,1.002413,1.850105,-1.300317,0.646721
34,70_remaster,14.2,14,1,occupancy_pressure,0.987104,1.615224,1.361867,-0.331491
35,137_master,13.4,13,2,occupancy_pressure,0.977098,1.36863,-0.566709,-0.572275
36,11317_master,13.5,13,4,occupancy_pressure,0.968925,0.84924,-1.103634,0.888695
37,11909_master,13.6,13+,0,occupancy_pressure,0.95898,1.056179,-1.704595,0.211626
38,136_master,13.7,13+,5,occupancy_pressure,0.944964,1.026686,-0.941472,-0.305335
39,11282_master,13.9,13+,3,occupancy_pressure,0.944951,1.667121,-0.080381,-0.223982
40,425_master,13.3,13,0,occupancy_pressure,0.944015,1.178893,-0.699123,0.05067
41,11359_master,13.0,13,3,occupancy_pressure,0.944005,1.191752,-0.264531,1.044491
42,143_remaster,14.6,14+,6,occupancy_pressure,0.943309,1.667764,0.082009,0.252404
43,11251_remaster,13.0,13,4,occupancy_pressure,0.938042,2.041959,-2.188622,1.487436
44,11340_master,13.1,13,0,occupancy_pressure,0.932684,1.065751,-1.353824,0.242271
45,11232_remaster,13.7,13+,3,occupancy_pressure,0.923256,1.138648,-0.94898,0.398826
46,11829_master,13.6,13+,6,occupancy_pressure,0.909939,1.062117,-0.175393,0.354373
47,11777_master,13.2,13,4,occupancy_pressure,0.908072,2.020867,-1.918172,1.382565
48,135_master,13.2,13,5,occupancy_pressure,0.90565,1.32149,-1.157193,-0.506424
49,58_master,13.0,13,4,occupancy_pressure,0.898981,1.421567,-1.474912,0.289839
50,10122_master,13.0,13,3,occupancy_pressure,0.898869,2.223682,-1.499054,2.249672
