rank,chart,raw_level,bucket_label,cluster_id,axis_name,axis_score,distance_to_centroid,pca_x,pca_y
1,417_master,13.4,13,7,rhythm_complexity,-2.058454,1.655751,-0.230942,-1.837106
2,11906_remaster,14.0,14,7,rhythm_complexity,-1.785309,1.385711,0.427466,-1.407014
3,204_master,13.3,13,7,rhythm_complexity,-1.780212,1.792549,0.637673,-2.45094
4,11700_master,13.3,13,0,rhythm_complexity,-1.753664,2.573601,-2.007497,-0.623538
5,11347_master,13.7,13+,0,rhythm_complexity,-1.696294,1.537438,-0.793864,-1.436197
6,11280_master,13.5,13,0,rhythm_complexity,-1.661425,1.25512,-0.602309,-1.391413
7,786_master,13.8,13+,0,rhythm_complexity,-1.621862,2.196188,-2.278357,-1.168828
8,775_master,13.3,13,0,rhythm_complexity,-1.541387,1.077268,-0.944332,-1.017578
9,139_master,13.4,13,2,rhythm_complexity,-1.541031,1.947643,0.375509,-1.604597
10,11005_master,13.6,13+,3,rhythm_complexity,-1.538447,1.952394,0.04013,-0.804374
11,82_master,13.9,13+,7,rhythm_complexity,-1.537417,1.446678,-0.549253,-2.132182
12,831_remaster,13.0,13,0,rhythm_complexity,-1.495728,1.11016,-0.910948,-1.358104
13,720_master,13.6,13+,0,rhythm_complexity,-1.487957,1.056167,-0.870206,-0.916719
14,759_remaster,13.3,13,7,rhythm_complexity,-1.47466,1.082583,0.164262,-1.233949
15,11358_master,13.4,13,7,rhythm_complexity,-1.473206,1.430524,-0.494346,-1.364588
16,465_master,13.8,13+,0,rhythm_complexity,-1.4722,1.022566,-1.074195,-0.766101
17,11384_master,13.9,13+,3,rhythm_complexity,-1.455176,1.632846,0.002544,-0.683837
18,692_master,13.4,13,0,rhythm_complexity,-1.443039,1.462855,-1.090866,-1.213078
19,11429_expert,13.0,13,7,rhythm_complexity,-1.436775,2.055413,-1.307469,-1.954036
20,113_expert,13.0,13,2,rhythm_complexity,-1.432424,2.019042,0.265656,-1.924573
21,376_master,13.7,13+,7,rhythm_complexity,-1.425781,1.241226,0.719028,-1.852792
22,694_master,13.4,13,0,rhythm_complexity,-1.425629,1.140703,-1.546445,-0.843269
23,11635_master,13.4,13,0,rhythm_complexity,-1.395109,1.549852,-1.114261,-0.855878
24,432_master,14.0,14,7,rhythm_complexity,-1.386168,1.557351,-0.766559,-1.457376
25,659_master,13.7,13+,7,rhythm_complexity,-1.373934,0.898056,-0.184092,-1.205773
26,467_master,13.8,13+,7,rhythm_complexity,-1.371707,1.103998,0.559671,-1.46747
27,734_expert,13.0,13,7,rhythm_complexity,-1.359361,1.344088,-0.801121,-1.750767
28,11208_master,13.8,13+,7,rhythm_complexity,-1.34242,0.871694,0.059505,-1.302698
29,388_master,14.2,14,7,rhythm_complexity,-1.32964,1.064158,0.632945,-1.714781
30,772_master,14.1,14,7,rhythm_complexity,-1.324502,1.037217,0.285331,-1.381479
31,11630_master,13.4,13,0,rhythm_complexity,-1.292215,1.501497,-1.407625,-0.384535
32,11373_master,13.0,13,0,rhythm_complexity,-1.26858,0.846817,-0.855834,-0.967618
33,227_expert,13.1,13,7,rhythm_complexity,-1.267481,0.905934,0.04414,-1.500251
34,11564_master,13.7,13+,7,rhythm_complexity,-1.263212,1.274024,-0.065193,-1.041777
35,10190_master,13.1,13,0,rhythm_complexity,-1.260823,0.861232,-0.643122,-1.0503
36,11363_master,13.5,13,7,rhythm_complexity,-1.252781,1.155312,0.870869,-1.308208
37,380_master,13.7,13+,7,rhythm_complexity,-1.24747,0.795325,0.325948,-1.321677
38,506_master,13.3,13,0,rhythm_complexity,-1.246689,1.513991,-1.199637,-1.426851
39,670_master,13.6,13+,7,rhythm_complexity,-1.225775,1.270213,-0.351063,-1.605032
40,850_master,14.2,14,1,rhythm_complexity,-1.21835,2.963702,3.989369,-0.803764
41,11604_master,13.7,13+,2,rhythm_complexity,-1.208526,1.543399,0.480913,-1.028819
42,511_master,13.4,13,7,rhythm_complexity,-1.205922,1.296452,-0.61665,-1.473477
43,11263_master,13.0,13,0,rhythm_complexity,-1.204931,0.950398,-0.766116,-0.914385
44,738_master,13.4,13,0,rhythm_complexity,-1.184032,1.246381,-0.2577,-0.806353
45,101_master,13.6,13+,7,rhythm_complexity,-1.17641,1.018732,0.031187,-1.620862
46,75_master,13.4,13,2,rhythm_complexity,-1.175834,1.613069,-0.402663,-1.7782
47,521_master,13.5,13,0,rhythm_complexity,-1.159193,1.085669,-0.97498,-0.620361
48,113_master,13.4,13,7,rhythm_complexity,-1.157585,1.669614,-0.118482,-1.924767
49,11328_master,14.2,14,1,rhythm_complexity,-1.117749,1.448916,1.191021,-0.802824
50,11282_master,13.9,13+,3,rhythm_complexity,-1.109843,1.667121,-0.080381,-0.223982
