rank,chart,raw_level,bucket_label,cluster_id,axis_name,axis_score,distance_to_centroid,pca_x,pca_y
1,424_master,13.3,13,4,rhythm_complexity,3.32531,2.443137,-0.370563,2.62605
2,154_expert,13.2,13,4,rhythm_complexity,3.165919,2.9742,0.068209,1.824576
3,244_master,13.0,13,4,rhythm_complexity,3.100725,2.356602,-0.49384,2.039744
4,11385_master,14.3,14,4,rhythm_complexity,2.304432,2.213073,0.868919,2.294492
5,11189_master,13.0,13,4,rhythm_complexity,2.107896,1.296055,-0.707642,1.681044
6,385_expert,13.0,13,2,rhythm_complexity,2.074749,2.180297,0.281625,0.904982
7,828_master,13.5,13,4,rhythm_complexity,2.06356,2.880887,-2.396932,1.867941
8,265_master,13.3,13,4,rhythm_complexity,2.026641,2.217599,-1.950622,1.273492
9,11504_master,13.4,13,4,rhythm_complexity,2.007346,2.773359,-1.838269,2.585112
10,11741_expert,13.0,13,4,rhythm_complexity,1.979143,1.325767,-0.493148,1.357184
11,35_master,13.3,13,2,rhythm_complexity,1.96038,2.128943,-0.40914,0.821844
12,235_master,14.1,14,5,rhythm_complexity,1.855365,1.85833,-0.772412,0.696984
13,11611_master,14.3,14,1,rhythm_complexity,1.801804,2.090734,0.88415,1.856881
14,10122_master,13.0,13,3,rhythm_complexity,1.744336,2.223682,-1.499054,2.249672
15,11427_master,13.5,13,4,rhythm_complexity,1.725329,1.156441,-1.051388,1.109783
16,24_remaster,14.0,14,4,rhythm_complexity,1.71953,1.53214,-0.367164,0.826135
17,253_master,13.3,13,4,rhythm_complexity,1.712559,1.277743,-1.104223,1.193489
18,114_master,13.6,13+,4,rhythm_complexity,1.67421,1.994611,-0.723929,1.121375
19,593_master,14.2,14,4,rhythm_complexity,1.639516,1.476388,0.28908,1.276969
20,11287_master,13.9,13+,4,rhythm_complexity,1.630984,0.882868,-0.393279,1.223161
21,11486_remaster,13.0,13,3,rhythm_complexity,1.629938,2.255611,-1.036247,2.536817
22,11527_master,13.8,13+,4,rhythm_complexity,1.62385,0.926982,-1.045715,1.779799
23,11386_master,14.3,14,1,rhythm_complexity,1.612025,2.136708,1.252209,2.232997
24,308_master,13.7,13+,4,rhythm_complexity,1.555892,2.422322,-2.317748,1.365448
25,11350_master,13.2,13,4,rhythm_complexity,1.555486,0.777119,-0.565631,1.351706
26,553_master,13.3,13,4,rhythm_complexity,1.548902,1.203042,-0.949356,0.866553
27,11873_master,13.0,13,4,rhythm_complexity,1.540409,0.523223,-0.697278,1.301848
28,11388_expert,13.5,13,2,rhythm_complexity,1.539724,1.735714,-0.39617,0.701829
29,11596_master,14.0,14,6,rhythm_complexity,1.484595,1.573707,0.705523,1.352129
30,191_master,14.1,14,2,rhythm_complexity,1.461146,2.190699,0.810267,1.07375
31,85_master,13.7,13+,4,rhythm_complexity,1.439782,1.374337,-0.607212,0.538636
32,809_remaster,13.3,13,4,rhythm_complexity,1.396701,0.951266,-0.840748,1.036186
33,689_expert,13.3,13,2,rhythm_complexity,1.373919,2.571589,-0.707934,1.072167
34,389_master,13.9,13+,5,rhythm_complexity,1.369132,1.207129,-0.207313,0.524217
35,688_master,14.1,14,6,rhythm_complexity,1.361963,1.462284,0.734556,1.122347
36,11702_master,13.7,13+,4,rhythm_complexity,1.360435,1.149702,0.114662,1.102988
37,11846_master,13.4,13,4,rhythm_complexity,1.358724,1.135296,-0.37148,1.584419
38,10070_master,14.6,14+,3,rhythm_complexity,1.354719,2.273496,1.035148,2.053982
39,11432_master,13.8,13+,4,rhythm_complexity,1.336415,0.965228,-0.118102,1.161349
40,801_master,13.4,13,4,rhythm_complexity,1.303549,0.554124,-0.453051,1.267397
41,11214_master,13.6,13+,4,rhythm_complexity,1.295897,1.079234,-0.233709,0.997381
42,154_master,13.7,13+,2,rhythm_complexity,1.279975,1.581586,0.456088,0.354039
43,587_master,13.4,13,4,rhythm_complexity,1.266984,0.600469,-0.991535,1.277443
44,11818_expert,13.1,13,2,rhythm_complexity,1.260258,1.576271,0.217453,0.680329
45,11465_master,13.5,13,4,rhythm_complexity,1.251086,1.14577,0.135447,0.968489
46,11424_master,13.8,13+,4,rhythm_complexity,1.234002,0.774832,-0.328661,1.050781
47,781_master,13.3,13,4,rhythm_complexity,1.230729,1.064103,-0.679729,0.812998
48,327_master,13.5,13,5,rhythm_complexity,1.225764,1.120384,-0.564027,0.457162
49,134_master,13.2,13,4,rhythm_complexity,1.222824,1.850105,-1.300317,0.646721
50,11809_master,14.6,14+,1,rhythm_complexity,1.213659,1.431701,1.690176,1.342086
