rank,chart,raw_level,bucket_label,cluster_id,axis_name,axis_score,distance_to_centroid,pca_x,pca_y
1,75_master,13.4,13,2,slide_complexity,-1.601998,1.613069,-0.402663,-1.7782
2,11652_master,13.8,13+,3,slide_complexity,-1.540539,2.224936,0.794078,0.352603
3,534_master,14.0,14,2,slide_complexity,-1.540425,1.872822,1.504782,-0.885056
4,142_expert,13.0,13,2,slide_complexity,-1.535909,1.811382,-0.585133,-0.980264
5,270_master,14.0,14,7,slide_complexity,-1.462579,1.501375,0.23499,-0.946219
6,113_expert,13.0,13,2,slide_complexity,-1.434178,2.019042,0.265656,-1.924573
7,83_master,13.4,13,2,slide_complexity,-1.425981,1.098484,-0.48251,-0.051338
8,11388_expert,13.5,13,2,slide_complexity,-1.367532,1.735714,-0.39617,0.701829
9,385_expert,13.0,13,2,slide_complexity,-1.366189,2.180297,0.281625,0.904982
10,204_master,13.3,13,7,slide_complexity,-1.365906,1.792549,0.637673,-2.45094
11,11429_expert,13.0,13,7,slide_complexity,-1.365795,2.055413,-1.307469,-1.954036
12,268_master,13.8,13+,2,slide_complexity,-1.363305,1.517666,-0.155905,-1.672666
13,113_master,13.4,13,7,slide_complexity,-1.363066,1.669614,-0.118482,-1.924767
14,141_master,14.1,14,2,slide_complexity,-1.3595,1.573839,1.206156,-1.198657
15,132_expert,13.1,13,2,slide_complexity,-1.355357,1.495562,0.066415,0.198472
16,35_master,13.3,13,2,slide_complexity,-1.331868,2.128943,-0.40914,0.821844
17,82_master,13.9,13+,7,slide_complexity,-1.304246,1.446678,-0.549253,-2.132182
18,146_master,13.0,13,2,slide_complexity,-1.303501,1.329854,-0.940882,-1.266113
19,199_master,13.3,13,2,slide_complexity,-1.294946,0.935673,-0.764802,-0.62671
20,226_master,13.4,13,2,slide_complexity,-1.288239,0.941329,-0.408926,-0.865285
21,11388_master,14.8,14+,3,slide_complexity,-1.283669,2.187004,0.860397,0.487828
22,137_master,13.4,13,2,slide_complexity,-1.275556,1.36863,-0.566709,-0.572275
23,346_master,13.7,13+,5,slide_complexity,-1.263946,1.434513,0.197586,-0.288213
24,224_master,14.0,14,2,slide_complexity,-1.246186,2.51727,0.867533,-0.961532
25,115_master,13.8,13+,7,slide_complexity,-1.245067,1.505802,0.683617,-1.015609
26,154_expert,13.2,13,4,slide_complexity,-1.230968,2.9742,0.068209,1.824576
27,110_master,13.0,13,2,slide_complexity,-1.217548,1.137519,-0.881732,-0.132685
28,202_master,13.4,13,7,slide_complexity,-1.212485,0.970708,0.021563,-1.172325
29,218_master,13.4,13,2,slide_complexity,-1.192299,1.716637,-0.472151,-0.836277
30,119_master,13.4,13,2,slide_complexity,-1.18955,1.016995,-0.541435,0.064409
31,219_master,13.6,13+,2,slide_complexity,-1.182877,2.013523,0.371301,-0.571009
32,259_master,13.3,13,2,slide_complexity,-1.163167,0.635337,-0.353627,-0.670509
33,246_master,13.2,13,7,slide_complexity,-1.154397,1.308835,-0.895943,-1.456211
34,130_master,13.7,13+,7,slide_complexity,-1.154395,1.209177,0.648552,-0.836599
35,214_master,13.2,13,2,slide_complexity,-1.143779,1.528573,-0.938281,0.077031
36,154_master,13.7,13+,2,slide_complexity,-1.12562,1.581586,0.456088,0.354039
37,201_master,13.3,13,2,slide_complexity,-1.121835,0.973434,0.02961,-1.176922
38,193_master,13.3,13,5,slide_complexity,-1.114007,1.383868,-0.153753,-0.707004
39,106_master,13.5,13,2,slide_complexity,-1.112762,1.15528,-0.8579,-0.544485
40,152_master,13.2,13,5,slide_complexity,-1.107031,1.333087,-1.25282,-0.556279
41,223_master,13.8,13+,5,slide_complexity,-1.085395,1.217029,-0.435512,-0.066921
42,349_master,13.7,13+,5,slide_complexity,-1.074113,1.205287,-0.188433,-0.768354
43,261_master,13.8,13+,2,slide_complexity,-1.074108,1.319281,0.595015,-1.094679
44,11089_expert,13.0,13,2,slide_complexity,-1.069401,0.916079,-0.694769,-0.888234
45,70_master,14.4,14,7,slide_complexity,-1.064908,1.248155,0.881401,-1.346341
46,194_master,13.3,13,5,slide_complexity,-1.031626,1.232262,-1.093047,-0.727579
47,11721_expert,13.0,13,2,slide_complexity,-1.030369,1.174422,0.047758,-0.044008
48,209_master,13.8,13+,2,slide_complexity,-1.022294,0.412344,-0.016308,-0.752279
49,390_master,14.1,14,7,slide_complexity,-1.018468,1.061583,0.758119,-1.112956
50,315_master,13.2,13,5,slide_complexity,-1.001314,0.989884,-0.915929,-0.391004
