rank,chart,raw_level,bucket_label,cluster_id,axis_name,axis_score,distance_to_centroid,pca_x,pca_y
1,11504_master,13.4,13,4,slide_complexity,2.561309,2.773359,-1.838269,2.585112
2,11777_master,13.2,13,4,slide_complexity,2.072853,2.020867,-1.918172,1.382565
3,378_master,13.2,13,0,slide_complexity,1.915963,3.152219,-2.521537,0.22954
4,11251_remaster,13.0,13,4,slide_complexity,1.747031,2.041959,-2.188622,1.487436
5,837_master,13.7,13+,4,slide_complexity,1.741851,1.874457,-1.303532,0.796375
6,804_master,13.4,13,4,slide_complexity,1.671397,1.450005,-0.413584,1.192946
7,1081_master,13.2,13,0,slide_complexity,1.543991,1.514342,-1.292858,0.090452
8,11630_master,13.4,13,0,slide_complexity,1.518179,1.501497,-1.407625,-0.384535
9,11486_remaster,13.0,13,3,slide_complexity,1.514177,2.255611,-1.036247,2.536817
10,11419_master,13.9,13+,0,slide_complexity,1.440547,1.797077,-1.640882,0.744666
11,777_remaster,13.8,13+,4,slide_complexity,1.437583,2.14472,-1.768361,1.527589
12,802_master,13.3,13,0,slide_complexity,1.417039,1.700137,-1.911365,0.097973
13,143_remaster,14.6,14+,6,slide_complexity,1.380763,1.667764,0.082009,0.252404
14,11451_master,13.5,13,0,slide_complexity,1.378536,1.388489,-1.441634,0.425772
15,1819_master,14.2,14,6,slide_complexity,1.27532,1.241021,-0.043238,0.086275
16,11295_master,14.6,14+,1,slide_complexity,1.265976,1.64148,1.413899,0.878214
17,11858_master,13.0,13,0,slide_complexity,1.251922,1.681321,-1.514911,0.232767
18,737_master,13.4,13,4,slide_complexity,1.248123,1.097753,-1.034311,1.391685
19,10302_master,13.4,13,0,slide_complexity,1.229906,1.064197,-0.686788,0.066502
20,843_master,13.8,13+,4,slide_complexity,1.211481,1.246491,-0.469892,0.581294
21,828_master,13.5,13,4,slide_complexity,1.205217,2.880887,-2.396932,1.867941
22,672_master,13.8,13+,6,slide_complexity,1.17569,1.160184,0.273655,0.282793
23,555_master,13.4,13,6,slide_complexity,1.151596,1.22037,0.132067,-0.219611
24,364_remaster,13.5,13,0,slide_complexity,1.113328,1.193714,-0.683756,0.469474
25,11862_master,13.5,13,6,slide_complexity,1.109309,1.449698,-0.300167,0.646214
26,11028_expert,13.3,13,0,slide_complexity,1.085458,1.390383,-1.333158,-0.009918
27,11471_master,14.2,14,6,slide_complexity,1.074461,1.251259,0.967302,0.654828
28,10835_master,13.0,13,3,slide_complexity,1.063912,1.726591,-0.949751,1.976848
29,239_remaster,14.0,14,6,slide_complexity,1.063539,1.314469,0.398821,0.734151
30,530_master,13.8,13+,6,slide_complexity,1.061551,1.203361,-0.120455,-0.248262
31,11207_master,13.9,13+,1,slide_complexity,1.056942,1.594196,1.335098,1.211654
32,11701_master,13.0,13,4,slide_complexity,1.047005,1.17659,-1.405422,1.051862
33,387_master,14.5,14,1,slide_complexity,1.046056,3.872988,5.097216,0.914303
34,750_master,14.5,14,6,slide_complexity,1.035264,1.17494,0.322276,-0.210414
35,11759_master,14.1,14,6,slide_complexity,1.029636,0.964829,0.533992,0.109952
36,11753_master,14.9,14+,1,slide_complexity,1.026655,1.434859,1.662234,1.434391
37,100_remaster,13.2,13,4,slide_complexity,1.018894,1.328018,-1.400087,0.362935
38,11830_master,13.8,13+,0,slide_complexity,1.013482,1.171694,-0.720625,0.219159
39,10117_master,13.2,13,0,slide_complexity,1.009724,0.987404,-1.258517,0.041377
40,11392_master,14.7,14+,1,slide_complexity,1.001512,1.374919,1.198467,0.67397
41,11386_master,14.3,14,1,slide_complexity,1.00007,2.136708,1.252209,2.232997
42,11700_master,13.3,13,0,slide_complexity,0.99924,2.573601,-2.007497,-0.623538
43,674_master,13.3,13,0,slide_complexity,0.997924,1.21314,-1.434727,0.082436
44,11438_master,13.9,13+,6,slide_complexity,0.990484,1.066002,0.599531,0.04759
45,477_master,13.8,13+,6,slide_complexity,0.987752,1.243587,0.30988,-0.233328
46,580_master,13.8,13+,4,slide_complexity,0.972275,0.940382,-0.779306,0.958908
47,11690_master,13.8,13+,3,slide_complexity,0.970553,1.013529,-0.070239,0.697317
48,786_master,13.8,13+,0,slide_complexity,0.969639,2.196188,-2.278357,-1.168828
49,11537_master,14.8,14+,1,slide_complexity,0.964412,1.679822,2.061542,1.037854
50,11106_master,14.7,14+,3,slide_complexity,0.963934,2.080046,1.006415,1.871835
