rank,chart,raw_level,bucket_label,cluster_id,axis_name,axis_score,distance_to_centroid,pca_x,pca_y
1,216_master,13.3,13,4,touch_cross_mix,-0.856193,2.790936,-2.598081,0.341464
2,777_remaster,13.8,13+,4,touch_cross_mix,-0.856193,2.14472,-1.768361,1.527589
3,534_master,14.0,14,2,touch_cross_mix,-0.852909,1.872822,1.504782,-0.885056
4,689_expert,13.3,13,2,touch_cross_mix,-0.852622,2.571589,-0.707934,1.072167
5,308_master,13.7,13+,4,touch_cross_mix,-0.843265,2.422322,-2.317748,1.365448
6,134_master,13.2,13,4,touch_cross_mix,-0.839135,1.850105,-1.300317,0.646721
7,117_master,13.7,13+,2,touch_cross_mix,-0.835018,2.313149,-1.593413,-0.169726
8,137_master,13.4,13,2,touch_cross_mix,-0.830957,1.36863,-0.566709,-0.572275
9,144_master,13.3,13,2,touch_cross_mix,-0.817813,0.950214,0.25954,-0.743289
10,113_expert,13.0,13,2,touch_cross_mix,-0.817662,2.019042,0.265656,-1.924573
11,191_master,14.1,14,2,touch_cross_mix,-0.802536,2.190699,0.810267,1.07375
12,828_master,13.5,13,4,touch_cross_mix,-0.800871,2.880887,-2.396932,1.867941
13,258_master,13.8,13+,1,touch_cross_mix,-0.799434,1.391239,1.965446,-0.998148
14,456_master,14.8,14+,1,touch_cross_mix,-0.799267,1.662022,2.269919,-1.328551
15,141_master,14.1,14,2,touch_cross_mix,-0.797486,1.573839,1.206156,-1.198657
16,358_master,13.6,13+,5,touch_cross_mix,-0.796283,0.851181,-0.444815,-0.371447
17,132_expert,13.1,13,2,touch_cross_mix,-0.789985,1.495562,0.066415,0.198472
18,154_master,13.7,13+,2,touch_cross_mix,-0.786166,1.581586,0.456088,0.354039
19,143_master,14.2,14,1,touch_cross_mix,-0.786061,3.280295,3.713819,-1.018303
20,573_master,13.9,13+,0,touch_cross_mix,-0.785023,1.290761,-0.687423,-0.745792
21,83_master,13.4,13,2,touch_cross_mix,-0.784119,1.098484,-0.48251,-0.051338
22,113_master,13.4,13,7,touch_cross_mix,-0.781053,1.669614,-0.118482,-1.924767
23,220_master,13.0,13,7,touch_cross_mix,-0.775469,0.725079,-0.184884,-1.124792
24,224_master,14.0,14,2,touch_cross_mix,-0.775067,2.51727,0.867533,-0.961532
25,201_master,13.3,13,2,touch_cross_mix,-0.772455,0.973434,0.02961,-1.176922
26,347_master,13.8,13+,4,touch_cross_mix,-0.771492,1.560691,-0.735138,0.586387
27,142_expert,13.0,13,2,touch_cross_mix,-0.771055,1.811382,-0.585133,-0.980264
28,204_master,13.3,13,7,touch_cross_mix,-0.764925,1.792549,0.637673,-2.45094
29,339_master,13.9,13+,1,touch_cross_mix,-0.762329,1.293536,1.598773,-0.54586
30,133_master,13.7,13+,2,touch_cross_mix,-0.761652,1.515836,0.820453,-0.031194
31,194_master,13.3,13,5,touch_cross_mix,-0.760863,1.232262,-1.093047,-0.727579
32,844_master,14.7,14+,1,touch_cross_mix,-0.760036,1.251268,1.916987,-0.752429
33,269_master,13.9,13+,1,touch_cross_mix,-0.759677,1.361945,1.09326,0.060235
34,689_master,14.6,14+,1,touch_cross_mix,-0.759097,1.267988,1.386684,-0.074434
35,750_master,14.5,14,6,touch_cross_mix,-0.758376,1.17494,0.322276,-0.210414
36,11597_master,13.1,13,4,touch_cross_mix,-0.75753,2.374886,-1.065074,1.118521
37,346_master,13.7,13+,5,touch_cross_mix,-0.756476,1.434513,0.197586,-0.288213
38,85_master,13.7,13+,4,touch_cross_mix,-0.753763,1.374337,-0.607212,0.538636
39,110_master,13.0,13,2,touch_cross_mix,-0.753609,1.137519,-0.881732,-0.132685
40,265_master,13.3,13,4,touch_cross_mix,-0.753419,2.217599,-1.950622,1.273492
41,223_master,13.8,13+,5,touch_cross_mix,-0.75307,1.217029,-0.435512,-0.066921
42,154_expert,13.2,13,4,touch_cross_mix,-0.750578,2.9742,0.068209,1.824576
43,11388_expert,13.5,13,2,touch_cross_mix,-0.749954,1.735714,-0.39617,0.701829
44,11333_remaster,13.9,13+,1,touch_cross_mix,-0.7418,1.838703,2.217091,-0.730421
45,268_master,13.8,13+,2,touch_cross_mix,-0.737927,1.517666,-0.155905,-1.672666
46,385_master,14.5,14,1,touch_cross_mix,-0.730655,1.337265,1.705675,0.513014
47,226_master,13.4,13,2,touch_cross_mix,-0.730046,0.941329,-0.408926,-0.865285
48,835_master,13.4,13,5,touch_cross_mix,-0.729373,3.166926,-2.753224,0.053345
49,261_master,13.8,13+,2,touch_cross_mix,-0.729121,1.319281,0.595015,-1.094679
50,388_master,14.2,14,7,touch_cross_mix,-0.726911,1.064158,0.632945,-1.714781
