rank,chart,raw_level,bucket_label,cluster_id,axis_name,axis_score,distance_to_centroid,pca_x,pca_y
1,11650_master,13.1,13,3,touch_cross_mix,7.75689,6.685686,-0.987725,3.174715
2,11023_master,13.8,13+,3,touch_cross_mix,2.914185,2.869945,-1.069565,1.551051
3,11473_master,13.2,13,3,touch_cross_mix,2.502933,1.698228,-0.893385,1.053358
4,11601_master,13.2,13,3,touch_cross_mix,2.40882,1.845321,-1.720643,1.054135
5,11285_master,13.7,13+,3,touch_cross_mix,2.349798,1.387445,0.168394,1.276031
6,11764_remaster,13.4,13,3,touch_cross_mix,2.239906,1.430215,-0.807449,0.259191
7,11153_master,13.1,13,3,touch_cross_mix,2.079719,1.853926,0.690108,-0.087263
8,10835_master,13.0,13,3,touch_cross_mix,1.990634,1.726591,-0.949751,1.976848
9,11379_master,14.9,14+,3,touch_cross_mix,1.948135,2.34767,1.284681,1.698524
10,11058_master,13.3,13,3,touch_cross_mix,1.943307,1.72911,-0.190564,1.402978
11,378_master,13.2,13,0,touch_cross_mix,1.923559,3.152219,-2.521537,0.22954
12,10122_master,13.0,13,3,touch_cross_mix,1.908185,2.223682,-1.499054,2.249672
13,11769_master,13.8,13+,3,touch_cross_mix,1.9038,1.09224,0.124201,1.352791
14,11700_master,13.3,13,0,touch_cross_mix,1.899643,2.573601,-2.007497,-0.623538
15,10235_master,14.1,14,3,touch_cross_mix,1.895788,1.691129,0.148421,1.955467
16,11388_master,14.8,14+,3,touch_cross_mix,1.878017,2.187004,0.860397,0.487828
17,11736_master,13.0,13,3,touch_cross_mix,1.844338,1.47489,-1.438212,0.621029
18,11293_master,13.7,13+,3,touch_cross_mix,1.801502,1.290373,-1.461157,0.596986
19,11005_master,13.6,13+,3,touch_cross_mix,1.774883,1.952394,0.04013,-0.804374
20,11629_remaster,13.9,13+,3,touch_cross_mix,1.722233,1.202597,-0.026693,0.10826
21,11486_remaster,13.0,13,3,touch_cross_mix,1.716153,2.255611,-1.036247,2.536817
22,11832_master,13.8,13+,3,touch_cross_mix,1.7052,1.233281,-0.624164,1.551868
23,11091_master,13.0,13,3,touch_cross_mix,1.663917,0.695416,-0.59924,0.878112
24,11784_master,13.8,13+,3,touch_cross_mix,1.633599,0.884475,-0.671002,0.16881
25,11812_master,13.8,13+,3,touch_cross_mix,1.62409,1.484915,-0.788281,1.697996
26,11652_master,13.8,13+,3,touch_cross_mix,1.603928,2.224936,0.794078,0.352603
27,11282_master,13.9,13+,3,touch_cross_mix,1.595693,1.667121,-0.080381,-0.223982
28,11312_master,13.2,13,3,touch_cross_mix,1.555714,1.135333,0.082032,0.863215
29,11418_master,13.7,13+,3,touch_cross_mix,1.514811,1.111942,-0.222482,1.231448
30,10070_master,14.6,14+,3,touch_cross_mix,1.509514,2.273496,1.035148,2.053982
31,11552_master,13.3,13,3,touch_cross_mix,1.42841,0.885012,-0.918409,0.631558
32,11444_master,13.3,13,3,touch_cross_mix,1.426286,0.622519,-0.278286,0.747044
33,11384_master,13.9,13+,3,touch_cross_mix,1.423998,1.632846,0.002544,-0.683837
34,10202_master,13.4,13,3,touch_cross_mix,1.395624,1.003866,-0.024448,-0.13845
35,11005_remaster,14.4,14,3,touch_cross_mix,1.388028,1.661502,-0.05907,-0.055534
36,11335_master,13.1,13,3,touch_cross_mix,1.385862,0.690681,-0.9229,0.430013
37,11379_expert,13.7,13+,3,touch_cross_mix,1.376084,1.468157,0.399482,0.495653
38,11377_master,14.0,14,3,touch_cross_mix,1.370696,0.754655,0.090913,1.036847
39,11425_master,13.9,13+,3,touch_cross_mix,1.370465,0.668024,0.017814,0.479479
40,11521_master,13.3,13,3,touch_cross_mix,1.367398,1.265884,-1.088743,-0.2469
41,11172_master,13.2,13,3,touch_cross_mix,1.364466,0.614613,-0.697232,0.995894
42,11106_master,14.7,14+,3,touch_cross_mix,1.356988,2.080046,1.006415,1.871835
43,11690_master,13.8,13+,3,touch_cross_mix,1.334623,1.013529,-0.070239,0.697317
44,11401_master,13.2,13,3,touch_cross_mix,1.298662,1.290885,-0.185115,1.133708
45,11101_master,13.9,13+,3,touch_cross_mix,1.286197,0.900577,-0.107368,0.169104
46,11165_master,14.7,14+,3,touch_cross_mix,1.284062,1.343662,0.871487,0.9777
47,11103_master,14.6,14+,1,touch_cross_mix,1.268967,1.448299,1.454101,0.659679
48,11761_master,13.9,13+,3,touch_cross_mix,1.267613,0.870611,-1.153375,0.674481
49,11708_master,13.4,13,3,touch_cross_mix,1.245503,0.702969,-0.316392,0.452116
50,10593_master,13.5,13,3,touch_cross_mix,1.235489,1.148192,0.196633,1.335313
